id,sentence,label
1,당신과 함께한 지난 시간은 언제나 행복으로 가득 찬 소중한 순간들이었습니다.,13
2,너와 함께한 기억만으로도 마음이 따뜻해지는 기념일이에요.,13
3,우리의 사랑은 더 깊어지는 날마다 더욱 아름다워져요.,13
4,너와 함께한 시간은 영원히 기억될 소중한 보물이에요.,13
5,당신과 함께하는 모든 순간이 특별한 기쁨으로 가득하네요.,13
6,사랑하는 당신과 함께한 기억은 영원토록 마음에 간직할 거예요.,13
7,기념일을 맞이해서 더욱 더 사랑으로 가득한 하루가 되길 바랄게요.,13
8,당신과 함께한 시간은 내 인생에서 가장 소중하고 빛나는 순간들이에요.,13
9,사랑의 의미를 당신과 함께하는 기념일마다 깨닫게 되어요.,13
10,우리의 사랑은 세월이 지나도 변함없이 가득한 것 같아요.,13
11,당신과 함께한 여정은 항상 새로움과 행복으로 가득찬 기억들이었어요.,13
12,서로를 향한 사랑과 이해가 만들어낸 오늘을 축하합니다.,13
13,당신과 함께한 하루가 온통 행복으로 가득했던 소중한 시간이었어요.,13
14,우리의 사랑은 강해지고 풍요로워지는 것 같아요.,13
15,당신과 함께한 세월은 고마움과 행복으로 가득했던 것 같아요.,13
16,우리의 사랑이 더욱 빛날 수 있도록 계속 노력할게요.,13
17,나에게 있어서 당신과의 만남은 가장 소중한 순간이에요.,13
18,당신과 함께한 기억은 내게 있어서 가장 사랑스러운 것이에요.,13
19,사랑하는 당신과 함께한 모든 날이 나에게는 큰 축복이에요.,13
20,당신과 함께한 시간은 내 인생에서 가장 빛나는 순간들이었어요.,13
21,우리의 사랑은 세월이 지날수록 더욱 깊어지고 아름다워져요.,13
22,너와 함께한 기념일은 영원토록 마음에 남을 소중한 날이에요.,13
23,우리의 사랑은 특별한 날마다 더욱 빛을 발하고 있어요.,13
24,너와 함께한 순간이 내게 끝없는 행복과 충만함을 안겨줘요.,13
25,당신과의 사랑은 세월이 지나도 변하지 않는 아름다운 이야기라고 생각해요.,13
26,당신과 함께한 기억은 나에게 있어서 가장 큰 보물이에요.,13
27,당신과 함께한 하루는 항상 내게 특별한 행복으로 기억됩니다.,13
28,우리의 사랑은 서로를 이해하고 품안에서 행복을 느낄 수 있는 보석 같아요.,13
29,당신과 함께한 시간은 마치 꿈처럼 아름다운 기억으로 남아요.,13
30,우리 사랑은 서로에게 영원토록 가득한 행복과 사랑으로 이루어져 있어요.,13
31,너와 함께한 모든 기억은 내게 있어서 특별한 소중함으로 남아요.,13
32,사랑하는 나의 이상적인 상대와 함께한 시간은 끝없는 축복이에요.,13
33,당신과의 사랑은 내게 있어서 가장 큰 행복의 원동력이에요.,13
34,너와 함께한 기억은 나에게 있어서 무한한 행복의 원천이에요.,13
35,우린 함께한 여정을 통해 더욱 강해지고 서로를 이해하며 성장할 수 있었어요.,13
36,당신과 함께한 모든 게 특별하고 소중했던 것 같아요.,13
37,우리의 사랑은 서로를 향한 진심이 담긴 감동적인 이야기 같아요.,13
38,당신과 함께한 순간은 내게 있어서 가장 특별한 보물이에요.,13
39,너와 함께한 모든 오랜 기억이 내게는 끝없는 행복의 근원이었어요.,13
40,당신과 함께한 이 순간이 있음에 감사하며 항상 영원토록 기억할게요.,13
41,우리의 사랑은 서로를 이해하고 따뜻하게 사랑하는 것으로 가득차 있어요.,13
42,너와 함께한 세월은 나에게 무한한 행복과 충만함을 안겨주었어요.,13
43,당신과 같이 있는 시간은 마치 별빛이 가득한 하늘처럼 아름다워요.,13
44,우리 사랑은 서로를 보듬고 이해하며 더욱 깊어져갔어요.,13
45,당신과 함께한 기억은 나에게 있어서 가장 큰 행복의 근원이에요.,13
46,너와 함께한 순간들이 내게는 매일매일의 축복과 행운이었어요.,13
47,사랑하는 너와 함께한 모든 순간이 내게 무한한 기쁨의 향연이었어요.,13
48,우리의 사랑은 두려움 없는 마음으로 서로를 받아들이고 이해하는 것이에요.,13
49,너와 같이 있는 모든 순간은 내게 있어서 가장 아름다운 선물이에요.,13
50,당신과 함께한 모든 건 오직 행복과 사랑으로 가득 차있는 특별한 것이에요.,13
