id,sentences,label
1,너와 함께라면 어디든 행복할 수 있어.,13
2,너만 보면 행복이 느껴지는 순간이야.,13
3,우리의 행복한 순간이 계속해서 이어지길 바래.,13
4,너 없인 행복은 상상도 할 수 없어.,13
5,함께 있으면 모든 순간이 행복으로 가득 차.,13
6,너와 함께하는 모든 순간이 가장 큰 행복이야.,13
7,너와 함께 있는 동안 항상 행복함을 느껴.,13
8,너와 함께 행복한 기억을 쌓아가고 싶어.,13
9,우리는 서로를 행복하게 만들어주는 존재야.,13
10,우리의 사랑은 항상 행복과 함께하길 바래.,13
11,함께하는 모든 순간이 가장 큰 행복인 걸 알아.,13
12,네 미소가 지닌 행복은 나에게도 전해져.,13
13,네 곁에서 행복을 느낄 수 있어 고마워.,13
14,우리의 사랑이 행복한 미래로 이어지길 바래.,13
15,우리는 서로에게 가장 큰 행복을 선물하는 사랑이야.,13
16,너와 함께한 모든 순간은 나에게 큰 행복이야.,13
17,"너와 나, 우리만이 느낄 수 있는 특별한 행복.",13
18,너라는 사람을 만나 행복에 대한 의미가 달라졌어.,13
19,너와 함께 있는 모든 순간이 행복의 꽃이야.,13
20,우리의 사랑이라는 이름으로 행복한 이야기를 쓰자.,13
21,너와 함께라면 어떤 어려움도 행복으로 바꿀 수 있어.,13
22,너와 함께한 기억들이 내게 가장 큰 행복이야.,13
23,너 없이 행복은 상상할 수 없는 걸 알았어.,13
24,네 미소만으로도 내 마음은 행복에 가득 차.,13
25,우리의 행복한 순간들이 영원히 이어지길 바래.,13
26,너의 미소가 내게 주는 행복은 이 세상 어디에도 없는 걸.,13
27,너와 함께하는 모든 날이 행복으로 가득차 있어.,13
28,우리가 함께하는 모든 순간을 행복한 기억으로 남길게.,13
29,너와 함께하는 여정 속에는 행복만이 가득할 거야.,13
30,우리의 행복한 기억이 모여 특별한 이야기를 만들어.,13
31,함께 있는 모든 순간이 행복 그 자체인 것 같아.,13
32,너와 함께 한 시간이 지역 건강이 있는 행복한 순간이야.,13
33,행복이란 단순한 단어가 아니라 너를 의미해.,13
34,너를 만난 순간부터 내 인생은 행복의 시작이었어.,13
35,너로 인해 나의 모든 순간이 행복으로 가득 차 있어.,13
36,네 곁에서 나는 행복을 느끼며 살아간다.,13
37,너와 함께 해야 하는 모든 일이 행복으로 이어질 거야.,13
38,우리의 사랑이 이루어지는 모든 순간은 행복으로 가득할 거야.,13
39,너와 함께 하는 모든 순간은 행복한 미래를 준비하는 시간이야.,13
40,너의 웃음만으로도 내 맘은 행복으로 넘쳐 흐르고 있어.,13
41,너와 함께하는 여정 속에는 행복한 기억만이 쌓여가고 있어.,13
42,우리가 함께한 모든 기억이 내게 가장 큰 행복의 원천이야.,13
43,네 곁에서 느끼는 행복이 얼마나 큰지 너도 알거야.,13
44,너와 함께하는 모든 순간이 행복으로 가득할 수밖에 없어.,13
45,우리가 함께하는 모든 순간은 행복을 만들어 내는 마법이야.,13
46,너와 나는 서로의 행복을 더해가며 성장하는 것 같아.,13
47,우리의 사랑이라는 이름으로 행복한 이야기를 쓰려고 해.,13
48,너와 함께하는 모든 순간은 나에게 무한한 행복을 선물해.,13
49,너와 함께 했던 모든 날들이 내게 가장 큰 행복의 소중한 기억이야.,13
50,우리가 함께 있는 이 순간이 내게는 절대적인 행복의 증거야.,13
51,"함께하는 모든 순간이 행복하고 소중해. 우리의 사랑을 기념하며, 더 높은 곳을 향해 함께 나아가자.",13
52,"당신과 함께하는 모든 순간이 특별하다. 우리의 기념일을 축하하며, 영원한 사랑으로 함께할 거야.",13
53,"함께라는 게 얼마나 큰 힘이 되는지, 우리는 잘 알고 있어. 오늘 기념일을 맞아 더욱 더 강하게 서로를 지지해주자.",13
54,"당신과 함께하는 시간은 나에게 무궁무진한 행복을 주는 순간이야. 우리의 사랑을 기념하며, 더 많은 꿈을 함께 이루는 날이 되길 기대해.",13
55,"함께라면 어떤 어려움이 올지 몰라도, 우리는 더욱 강해지게 될 거야. 오늘은 우리의 사랑을 기념하며, 앞으로의 여정도 함께해보자.",13
56,"당신과 함께한 기억들이 나를 더욱 강하게 만들어줘. 오늘은 우리의 사랑을 기념하며, 더 깊은 사랑을 키워가는 날이 될 거야.",13
57,"함께하는 모든 순간이 나에게는 특별하고 소중한 순간이야. 우리의 기념일을 축하하며, 앞으로도 변함없는 사랑을 나누기를 기대해.",13
58,"함께라는 게 얼마나 큰 축복인지, 너와 함께하는 모든 순간을 통해 깨달았어. 오늘은 우리의 사랑을 기념하며, 새로운 꿈과 희망으로 가득 찬 날을 맞이하자.",13
59,"당신과 함께한 모든 날이 나에게는 특별한 날이야. 오늘은 우리의 사랑을 기념하며, 서로의 키스로 더욱 행복한 순간을 만들어보고 싶어.",13
