id,sentence,label
482,"너의 졸업을 축하하며, 새로운 시작을 응원해요!",9
368,노력과 열정으로 이뤄낸 졸업을 진심으로 축하합니다.,9
182,졸업을 축하합니다. 당신의 미래가 기대되며 더 큰 행복과 성공을 향해 나아갈 거예요.,9
146,졸업 축하해요! 당신은 정말 대단한 분이에요.,9
448,더 큰 꿈을 향해 함께 축하해요. 꽃길만 걷자!,9
480,"앞으로의 여정을 함께 응원하며, 졸업을 축하해요!",9
74,졸업을 축하해요! 성취감과 자부심이 넌 꺼질 수 없는 라이트로 빛납니다.,9
40,"너의 미래가 빛나기를 진심으로 바라며, 졸업을 축하한다.",9
533,가슴 뛰는 새로운 도전을 시작하며 축하의 인사를 드립니다.,9
442,너의 여정을 믿어요. 꽃길만 걷며 더 큰 꿈을 향해 나아가요.,9
67,졸업 축하해요! 앞으로의 모든 순간이 행운과 기쁨으로 가득하기를 기원해요.,9
609,"미래가 빛날 수 있는 꽃을 위해, 함께 피우는 졸업을 축하합니다.",9
136,당신의 행복한 미래를 축하합니다. 최고에요!,9
249,수고하셨습니다. 졸업을 진심으로 축하합니다.,9
508,함께했던 모든 일들이 빛나게 떠오를 거예요. 축하합니다!,9
61,졸업을 축하합니다! 미래는 너의 노력과 열정에 걸맞은 멋진 결과를 보여줄 거에요.,9
110,이제 당신은 세상을 변화시키는 일들에 참여하게 될 거예요. 축하해요!,9
427,끝까지 버텨나가는 너의 모습이 너무 자랑스럽다. 졸업 축하해!,9
287,졸업을 축하해요! 당신의 노력과 열정이 결실을 맺어 빼어난 성과를 이루었어요.,9
579,시들었던 마음에 꽃 씨앗을 심으면 핀 꽃처럼 행복이 가득하길 바라며 졸업을 축하해.,9
12,"졸업을 축하하며, 더 멋진 성과와 행운이 함께하기를 바라.",9
383,끈기와 열정으로 흐른 시간들을 기억하며 졸업을 축하합니다.,9
84,졸업을 맞이해 축하해요! 너의 강인한 의지가 앞으로를 밝게 비춰줄 거에요.,9
91,졸업을 맞이해 축하해요! 당당한 네 모습과 밝게 빛나는 미래를 응원해요.,9
282,"축하해요! 너의 성공을 기뻐하고, 축하합니다.",9
541,이룬 것에 대한 자부심을 가져요. 졸업을 축하합니다!,9
520,미래를 향한 새로운 도전을 응원합니다. 축하합니다!,9
529,당신의 열정과 노력이 결실을 맺었어요. 축하합니다.,9
119,당신은 무한한 가능성을 품고 있는 반짝이는 별이에요. 축하합니다!,9
80,졸업을 축하해요! 앞으로의 모험은 너의 꿈을 더욱 눈부시게 만들 거에요.,9
24,"졸업을 축하하며, 너와 함께한 소중한 순간들을 기억한다.",9
583,핀 꽃들처럼 아름다워진 내일을 위해 지금처럼 찬란하길 바라며 졸업을 축하합니다.,9
288,축하해요! 졸업을 축하합니다. 더 큰 성공이 당신을 기다리고 있을 거에요.,9
323,졸업을 축하합니다! 당신이 향하는 길은 밝고 환히 빛날 것입니다. 미래를 응원합니다.,9
133,"당신의 성공과 행복을 축하하며, 항상 응원할게요!",9
175,졸업을 축하해요. 오늘의 성취는 내일의 행복과 성공을 위한 토대가 될 거예요.,9
339,졸업을 축하합니다! 새로운 성공의 시작을 맞이하여 행운을 빕니다. 축하합니다!,9
178,졸업을 축하합니다. 새로운 시작이 더 많은 행복과 성공을 가져다줄 거라 믿어요.,9
159,졸업을 축하해요. 당신의 미래가 밝고 행복으로 가득할 거라 믿어요.,9
138,"눈부시게 빛나는 성과를 축하하며, 최고에요!",9
397,당신의 빛나는 미래를 응원하며 새로운 시작을 축하합니다!,9
10,"이제 새로운 세상으로 나아가는 시작을 축하해, 너를 응원할게.",9
