id	Sentences	category
143	새해에는 더 많은 성취와 행복이 함께 하길 기원합니다.	0
646	한 해 동안 수고 많으셨습니다. 새해에도 건강하고 행복하세요!	0
566	올해 동안 여러분의 노고에 감사드립니다.	0
403	행운과 행복이 넘치는 해가 되길 기대합니다.	0
781	생일 축하해! 오늘은 너에게 특별한 날이니까 즐겨보자.	0
474	"새해 복 많이 받으세요. 2024년엔 꿈과 희망이 가득하시길 바랍니다. 꿈은 우리에게 희망과 도전을 줍니다. 바라는 꿈을 이루는 과정은 우리를 성장하게 하고 더 나은 사람, 더 좋은 사람이 되도록 이끌어줍니다. "	0
130	새해에는 건강과 행운으로 가득한 날들이 계속되길 바랍니다.	0
122	새해를 맞아서 가족과 사랑하는 사람들과 함께하는 시간들이 행복하고 소중하게 이어지길 기원합니다.	0
55	모든 소망이 이뤄지는 해를 맞이하길 바랍니다.	0
659	눈이 내리는 생일 축하해	0
840	"생일 축하해~ 맛있는 거 많이 먹고, 즐거운 하루 보내!"	0
579	2023년 한 해 동안 노고가 많으셨습니다. 항상 도움을 주셔서 감사합니다. 행복했던 기억들만 가슴에 담고 새해를 맞이하셨으면 좋겠습니다.	0
532	지난 한 해 동안 함께 웃고 울었던 소중한 시간들에 고마워. 2024년 갑진년은 더 좋은 일만 가득하길 바란다. 올 한 해도 잘 부탁한다.	0
419	" 갑진년 새해가 밝았습니다. 새해에는 꿈과 목표를 향해 힘차게 나아가시길 바라며, 건강과 행복이 늘 함께하기를 기원합니다."	0
1002	함께 하진 못하지만 마음만은 항상 여기에 있다는 거 잊지 말아줘.	0
851	"앞으로도 영원하자. 오늘은 너의 날, 행복한 시간 보내!"	0
574	12월의 초입부터 날씨가 많이 춥다고 해요. 따뜻한 저녁밥 드시길 바라면서 이만 줄이겠습니다. 감사합니다.	0
565	올해 동안 여러분과 함께한 모든 순간이 소중했습니다. 감사합니다.	0
310	풍요로운 행복과 즐거움으로 가득한 2024년이 되시길 기대합니다.	0
151	새해에는 더욱 행복하고 건강한 모습으로 보내길 바라요.	0
924	"특별한 날이니까, 하고 싶은거 다해! 생일을 축하해~"	0
111	새해는 더 많은 기쁨과 행복이 가득 차길 기원합니다.	0
589	다사다난했던 2023년도 서서히 저물어가고 있습니다. 올 한해도 수고 많으셨습니다. 밝아오는 새해에는 새 마음 새 뜻으로 계획하는 모든 일이 술술 풀리길 진심으로 바라겠습니다.	0
174	새해에는 모든 소망이 이뤄지는 기쁨 가득한 해가 되길 바랍니다.	0
575	"12월이 되니 이제 정말 겨울이 왔다는 생각이 들어요. 요즘 출퇴근길 바람이 찬데, 조심히 퇴근하시고 따뜻한 저녁식사하시길 바랄게요!"	0
861	"어떻게 보내든 너의 날이니까, 행복하자."	0
267	올해 새로운 시작과 함께 건강과 행운이 가득한 한 해가 되시길 바랍니다.	0
369	행복한 순간들이 가득한 새해가 되세요.	0
70	"새로운 도전과 성장의 한 해인 2024년, 모든 꿈을 이루실 수 있기를 기원합니다."	0
404	행운과 행운이 함께하는 해가 되길 바랍니다.	0
145	새해에는 더 많은 웃음과 기쁨이 함께 하길 기원합니다.	0
37	건강한 한 해가 되기를 기원합니다.	0
439	"갑진년 새해가 밝았습니다. 새해에는 가족 모두 서로를 사랑하고, 배려하는 마음으로 행복한 가정을 만들어 나가길 기원합니다."	0
246	새해에는 행복한 순간들로 가득한 기억들을 만들어 가세요.	0
795	"생일 축하해! 오늘은 너의 날, 선물도 많이 받고, 즐거운 시간 보내, 마음껏 즐겨봐."	0
609	여러분과 함께하는 2023년 정말 특별했습니다. 감사합니다.	0
548	희망찬 새해가 밝았습니다. 늘 건강하시고 소망하시는 모든 일 성취하시길 바랍니다.	0
837	생일 축하해~ 맛있는 거 많이 먹고 즐거운 하루 보내~	0
656	"날씨도 좋은데, 생일 축하해~ 즐거운 하루 보내!"	0
668	"많은 사랑 받길 바라! 오늘은 너의 날, 마음껏 즐기고 행복한 순간 많이 만들어봐."	0
482	새해에는 가족 모두 건강하고 행복한 일만 가득하길 기원합니다.	0
24	갑진년에는 새로운 도약과 성장이 있는 행복한 해가 되길 기원합니다.	0
901	"이제 한 살 더 먹었으니까, 자유롭게 놀아보고 싶은 마음껏 즐겨봐!"	0
662	"또 한 살 더 먹었네, 축하해!"	0
943	행복한 순간! 많은 사랑 받길 바라.	0
725	"생일 축하해, 친구야! 특별한 하루가 되길 바라."	0
981	생일 축하해. 올해도 함께 생일을 축하할 수 있어서 너무나 행복해. 앞으로도 잘 부탁해. 많이 사랑해.	0
929	"한 살 더 먹었네, 생일 축하해!"	0
780	"생일 축하해! 오늘은 너에게 특별한 날, 즐거운 순간만 가득한 날이야."	0
1	2024년 새해를 맞이하여 가족과 함께 행복한 순간을 만끽하시길 기원합니다.	0
242	새해에는 행복한 마음으로 모든 도전에 임하여 더 큰 성공을 이뤄나갈 수 있기를 바랍니다.	0
624	올 한해 너와 함께 많은 것을 경험하고 배웠던거 같아. 다가오는 새해에도 함께하자.	0
578	"2023년 연말 마무리 잘 하시고, 남은 기간 동안 즐겁고 행복한 추억 많이 만드시길 바랍니다."	0
172	새해에는 모든 소망이 이루어지길 기원해요.	0
999	태어나줘서 고마워. 항상 고맙고 사랑해	0
96	"새해, 행복과 건강으로 가득찬 2024년이 되시길 바랍니다."	0
618	올 한 해도 따뜻한 격려와 관심을 주셔서 정말 감사합니다. 따뜻한 연말 보내세요~	0
903	"즐거운 생일 보내길 바래! 선물도 많이 받고, 좋은 추억 쌓아~"	0
949	"행복한 하루 보내! 맛있는 음식 많이 먹고, 즐거운 시간 나누자."	0
916	"특별한 날이네. 생일 축하해! 행복한 생일 되길 바라! 맛있는 음식 많이 먹고, 좋은 일 많이 있길!"	0
