id,sentence,label
1,메리 크리스마스! 즐거운 성탄을 보내시고 행복한 새해가 되시길 바랍니다.,12
2,"크리스마스의 기쁨이 가득한 하루를 보내시고, 행복한 새해가 되시길 기원합니다.",12
3,"성탄절을 맞아, 따뜻한 사랑과 기쁨이 함께하길 바라며 메리 크리스마스!",12
4,"크리스마스의 기적 같은 날을 보내시고, 새해에는 더 많은 축복이 함께하길 기원합니다.",12
5,메리 크리스마스! 행복한 성탄 보내시고 훌륭한 새해가 될 것을 기대합니다.,12
6,"크리스마스의 기쁨과 축복이 가득한 하루를 보내시고, 행복한 새해를 맞이하세요.",12
7,메리 크리스마스! 사랑과 행복으로 가득한 성탄절을 보내시길 바랍니다.,12
8,성탄 축하합니다! 따뜻한 사랑과 행복이 늘 함께하는 크리스마스 되세요.,12
9,"크리스마스의 기적 같은 날, 가족과 함께하는 특별한 하루를 보내시길 기원합니다.",12
10,메리 크리스마스! 훈훈한 성탄절을 보내고 새해에는 더 많은 행운이 함께하길 바랍니다.,12
11,"크리스마스 기념일을 맞아, 사랑과 행복으로 물든 특별한 하루를 보내세요.",12
12,"성탄 절을 맞아, 가족과 함께하는 따뜻한 시간을 보내시고, 행복한 새해를 맞이하세요.",12
13,메리 크리스마스! 크리스마스의 기쁨을 느낄 수 있는 특별한 날이 되길 바랍니다.,12
14,"크리스마스의 기적이 당신과 함께하길 기원하며, 특별한 성탄절을 보내세요.",12
15,성탄 축하합니다! 사랑과 기쁨으로 가득한 크리스마스가 되길 바랍니다.,12
16,"크리스마스의 마법 같은 날을 맞아, 사랑과 행복이 넘치는 하루를 보내세요.",12
17,메리 크리스마스! 따뜻한 성탄을 보내시고 새해에는 더 많은 행운이 함께하길 기대합니다.,12
18,"크리스마스의 기쁨과 축복이 더해진 특별한 날을 보내시고, 행복한 새해를 맞이하세요.",12
19,"성탄절을 맞아, 소중한 사람들과 함께하는 특별한 순간을 경험하세요.",12
20,메리 크리스마스! 사랑과 행복으로 가득한 성탄절을 보내시길 기원합니다.,12
21,크리스마스의 신비로움과 기쁨이 넘치는 특별한 하루를 보내세요.,12
22,성탄 축하합니다! 사랑과 미소가 함께하는 특별한 크리스마스 되세요.,12
23,"크리스마스의 기적 같은 날, 사랑과 행복이 늘 함께하는 시간을 보내세요.",12
24,메리 크리스마스! 따뜻한 성탄을 보내시고 행복한 새해가 될 것을 기대합니다.,12
25,"크리스마스의 기쁨이 넘치는 날을 맞아, 가족과 사랑으로 물든 특별한 날을 보내세요.",12
26,"성탄 절을 맞아, 따뜻한 사랑과 축복이 함께하는 크리스마스를 보내세요.",12
27,메리 크리스마스! 특별한 성탄 절을 보내고 새해에는 더 많은 행운이 함께하길 바랍니다.,12
28,"크리스마스의 기쁨과 행복이 함께하는 특별한 날을 보내시고, 훌륭한 새해를 맞이하세요.",12
29,"성탄절을 맞아, 소중한 사람들과 함께하는 특별한 순간을 즐기세요.",12
30,메리 크리스마스! 사랑과 행복으로 가득한 성탄절을 보내시길 기원합니다.,12
31,"크리스마스의 신비로움과 기쁨이 넘치는 특별한 하루를 보내시고, 새해에는 더 많은 행운이 함께하길 바랍니다.",12
32,성탄 축하합니다! 사랑과 미소가 넘치는 크리스마스가 되길 기원합니다.,12
33,"크리스마스의 기적 같은 날, 가족과 사랑으로 가득한 특별한 날을 보내세요.",12
34,메리 크리스마스! 따뜻한 성탄 절을 보내시고 새해에는 더 많은 축복이 함께하길 바랍니다.,12
35,"크리스마스의 기쁨이 넘치고 사랑이 넘치는 날을 보내시고, 새해에는 더 많은 행운이 함께하길 기대합니다.",12
36,"성탄 절을 맞아, 가족들과 함께 특별한 순간을 보내시고, 새해에는 더 많은 행운이 함께하길 바랍니다.",12
37,메리 크리스마스! 사랑과 행복으로 가득한 성탄 절을 보내시길 바랍니다.,12
38,크리스마스의 신비로움과 기쁨이 넘치는 특별한 하루를 보내세요.,12
39,성탄 축하합니다! 사랑과 미소가 함께하는 특별한 크리스마스 되세요.,12
40,"크리스마스의 기적 같은 날, 사랑과 행복으로 가득한 시간을 보내세요.",12
41,메리 크리스마스! 따뜻한 성탄을 보내시고 행복한 새해가 될 것을 기대합니다.,12
42,"크리스마스의 기쁨이 넘치는 날을 맞아, 가족과 사랑으로 물든 특별한 날을 보내세요.",12
43,"성탄 절을 맞아, 따뜻한 사랑과 축복이 함께하는 크리스마스를 보내세요.",12
44,메리 크리스마스! 특별한 성탄 절을 보내고 새해에는 더 많은 행운이 함께하길 바랍니다.,12
45,"크리스마스의 기쁨과 행복이 함께하는 특별한 날을 보내시고, 훌륭한 새해를 맞이하세요.",12
46,"성탄절을 맞아, 소중한 사람들과 함께하는 특별한 순간을 즐기세요.",12
47,메리 크리스마스! 사랑과 행복으로 가득한 성탄절을 보내시길 기원합니다.,12
48,"크리스마스의 신비로움과 기쁨이 넘치는 특별한 하루를 보내시고, 새해에는 더 많은 행운이 함께하길 바랍니다.",12
49,성탄 축하합니다! 사랑과 미소가 넘치는 크리스마스가 되길 기원합니다.,12
50,"크리스마스의 기적 같은 날, 가족과 사랑으로 가득한 특별한 날을 보내세요.",12
