id,sentence,label
1,"스승님, 잘 지내시죠? 저를 이끌어 주시고 가르쳐 주셔서 감사합니다.",10
2,"스승님, 오랜 시간 동안 감독하시던 제 모습을 보시며 안심하셨을까요?",10
3,잘 지내시죠? 학생을 바른 길로 인도해 주신 스승님에게 감사의 말씀을 전합니다.,10
4,"스승님, 나아갈 수 있는 힘을 주셔서 고맙습니다. 항상 건강하시길 바랍니다.",10
5,"스승님, 제 길을 밝게 비춰 주신 덕분에 방황하지 않고 나아갈 수 있었습니다.",10
6,잘 지내시죠? 스승의 가르침으로 나 자신을 발견하고 성장할 수 있었습니다.,10
7,"스승님, 올바른 길을 보여주시고 가르쳐 주셔서 감사드립니다.",10
8,"스승님, 건강하시죠? 언제나 저에게 힘을 주신 스승께 감사드립니다.",10
9,잘 계시죠? 바로 세워 주시고 인도해 주신 스승께 진심으로 고맙습니다.,10
10,"스승님, 건강하세요. 항상 빛나는 길을 안내해 주셔서 감사합니다.",10
11,"스승님, 올바른 길로 인도해 주셔서 감사합니다. 항상 행복하세요.",10
12,잘 계시죠? 스승님께서 제 곁에 계셔서 더욱 강해질 수 있었습니다.,10
13,"스승님, 제게 주신 가르침으로 나아가는 길이 뚜렷해졌습니다.",10
14,"스승님, 별나라로 인도해 주시는 마음에 감사드립니다. 건강하세요.",10
15,"스승님, 항상 기억하고 있습니다. 감사합니다. 건강하세요.",10
