id,,category
143, 갑진년 새해가 밝았습니다. 새해 복 많이 받으세요.,0
646,새해 복 많이 받으세요. 올 한해 더 행복하세요.,0
566,"2023년 고생많았어, 새로운 시작을 알리는 2024년에도 우리 같이 파이팅하자! 새해 복 많이 받어!",0
403,"2023년 동안 고생 많으셨습니다. 가지고 있었던 근심·걱정은 2024년 밝게 떠오른 태양으로 던져버리시고, 새해엔 좋은 일만 가득해지시길 바랍니다. ",0
474,2023년 마지막 마무리가 되어갑니다. 한 해 동안 수고 많으셨습니다. 원하는 거 다 이루는 새해 되세요! ,0
130,날씨가 많이 추운데 항상 감기 조심하고 따뜻한 연시 보내~~ 새해 복 많이 받어!,0
122,2023년 수고했어. 2024년은 좋은일만 가득하길 바라. 새해 복 많이 받으세요.,0
55,"2023년 연말 마무리 잘 하시고, 남은 기간 동안 즐겁고 행복한 추억 많이 만드시길 바랍니다. 새해 복 많이 받으세요.",0
579,2023년 한 해 동안 노고가 많으셨습니다. 항상 도움을 주셔서 감사합니다. 행복했던 기억들만 가슴에 담고 새해를 맞이하셨으면 좋겠습니다.,0
532,2023년 한해동안 참 잘 버텨온 너에게 오는 2024년에는 덜 힘들고 더 좋은 일들만 있기를 바래~,0
1002,2023년에도 보살펴 주신 은혜 감사드립니다. 2024년에도 변함없는 마음으로 지켜봐주세요.,0
574,2023년의 마지막인 12월이 다가왔습니다. 이루지 못한 아쉬움은 뒤로 한채 다가오는 2024년을 준비하는 소중한 시간 되세요.,0
565,2024년이 더 멋진 시작이 되기를 기대합니다.,0
310,2024년이 여러분에게 새로운 시작을 가져다 주길 기대합니다.,0
151,2024년 갑진년 새해 복 많이 받으세요.,0
111,2024년 갑진년 청룡의 해에 새해 인사를 드립니다. 새해 복 많이 받으세요.,0
589,2024년 갑진년에는 더욱더 빛나는 한 해가 되길 바라. 늘 응원할게. 파이팅!,0
174,2024년 갑진년에는 소망하시는 모든 일 이루시고 늘 행복한 일만 가득하시길 기원합니다.,0
575,2024년 갑진년에는 소망하시는 모든 일들이 이루어지는 한 해가 되시길 바라며 가정에도 건강과 행복이 늘 함께 하시길 기원합니다.,0
267,2024년 갑진년이 밝았습니다. 새해에는 더욱 풍요롭고 따뜻한 시간 도시길 바랍니다. 새해 복 많이 받으세요.,0
369,"2024년 갑진년이네요~항상 부족한 저를 믿고 응원해 주셔서 감사합니다. 힘든 일이 있을 때면 격려해 주시고, 좋은 일이 있을 때면 저보다 더 기뻐해 주시는 우리 부모님. 저에게 있어서 부모님은 언제나 최고입니다. 늘 따뜻한 사랑과 보살핌을 주셔서 감사합니다. 항상 건강 유념하시고 오래오래 곁에 머물러 주세요! ",0
70,2024년 새해 복 많이 받으세요. 건강과 뜻하는 일 모두 이루어지는 2024년이 되시길 바랍니다.,0
404,2024년 새해를 맞이하여 가족과 함께 행복한 순간을 만끽하시길 기원합니다.,0
145,2024년 새해에는 모든 일이 순조롭게 풀리고 행복한 일들이 가득하시기를 바랍니다.,0
37,2024년 새해에는 행복이 가득한 모든 순간들이 당신을 찾아갈 것입니다.,0
439,2024년 새해인 갑진년 청룡의 해에는 행복한 순간들이 가득하길 기원합니다.,0
246,2024년 청룡의 새해에는 힘차게 도약하는 한 해가 되시길 바랍니다.,0
609,"2024년 청룡의 해, 갑진년입니다! 우리 가족들 모두 새해 복 많이 받으시고 올해는 작년보다 건강하고 행복한 일들이 가득하길 바랍니다~! ",0
548,2024년 청룡의 해에는 지난 해의 모든 아픔을 잊고 새로운 희망을 가지실 수 있기를 기원합니다.,0
482,"2024년, 모든 소망이 이루어지는 새해가 되길 기원합니다.",0
24,"2024년, 모든 소망이 이루어지는 해가 되길 바라요.",0
901,"2024년, 모든 소망이 이루어지는 해가 되길 바랍니다.",0
662,"2024년, 새해 복 많이 받으세요!",0
943,"2024년, 희망찬 새해가 밝았습니다. 올해는 행복한 일들만 가득하시기 바랍니다.",0
1,2024년에는 건강과 행운이 함께하는 행복한 한 해가 되시길 기원합니다.,0
242,2024년에는 더 많은 사랑과 기쁨이 함께 하길 기대합니다.,0
624,2024년에는 더 많은 사랑과 기쁨이 함께하기를 기대합니다.,0
578,2024년에는 더 많은 사랑과 기쁨이 함께하기를 기원합니다.,0
172,2024년에는 더 많은 사랑과 기쁨이 함께하길.,0
999,2024년에는 올해보다 더 많은 행복과 기쁨이 찾아오기를 기원합니다.,0
96,2024년에는 원하는 모든 것이 이루어지길 기원합니다.,0
618,"2024년에는 풍요롭고 행복한 일들이 가득하며, 모든 소망이 이뤄지는 한 해가 되시길 바랍니다.",0
949,2024년에도 웃음과 희망이 가득한 행복한 시간이 되길 기원합니다.,0
414,2024년은 푸른 용의 해라고 합니다. 용의 기운을 받아 새해에도 건강하시고 행복하세요.,0
180,2024년이 드디어 왔네. 나이를 너무 빨리 먹는데ㅠㅠ 새해에는 더욱 더 건강하고 지금처럼 앞으로도 서로 힘이 되어주는 친구가 되도록 하자~ 늘 응원한다!,0
137,"HAPPY NEW YEAR!!! 친구야, 새해 복 많이 받아!!! ",0
3," 갑진년 새해가 밝았습니다. 새해에는 꿈과 목표를 향해 힘차게 나아가시길 바라며, 건강과 행복이 늘 함께하기를 기원합니다.",0
920,"가족과 친구, 모든 이들과 함께하는 즐거운 한 해가 되길 바랍니다.",0
72,"갑진년 새해가 밝았습니다. 새해에는 가족 모두 서로를 사랑하고, 배려하는 마음으로 행복한 가정을 만들어 나가길 기원합니다.",0
196,"갑진년 새해가 밝았습니다. 새해에는 가족 모두 소망하는 일 이루시고, 웃음 가득한 한 해가 되길 기원합니다.",0
202,갑진년 새해가 밝았습니다. 올 한 해도 열정과 노력에 힘입어 좋은 성과를 이룰 수 있었습니다. ,0
29,"갑진년 새해가 밝았어. 새해에는 너에게 좋은 일만 가득하길 바라며, 언제든지 도움이 필요하면 말해줘.",0
76,"갑진년, 푸른 용처럼 좋은 기운이 곁에 머물길 기원합니다.",0
642,갑진년에는 건강과 행운으로 가득한 날들이 함께하길 바랍니다.,0
993,갑진년에는 모든 일들이 평탄하고 안정된 모습으로 진행되길 기원합니다.,0
854,갑진년에는 새로운 도약과 성장이 있는 행복한 해가 되길 기원합니다.,0
557,갑진년에는 새로운 도약과 성장이 있을 토대를 다지며 발전을 이루어나가길 기원합니다.,0
607,갑진년에는 새로운 일들과 기회가 찾아오는 해가 되기를 바랍니다.,0
586,갑진년에는 행복과 사랑이 넘치는 새해가 되길 기원합니다.,0
116,갑진년에는 희망과 기쁨이 넘치는 모습으로 새해를 맞이하길 바랍니다.,0
529,갑진년에는 희망과 변화가 함께하는 새해가 되길 기대합니다.,0
423,갑진년에는 희망과 변화가 함께하는 새해를 맞이하길 바랍니다.,0
304,건강만 해라! ,0
449,건강하고 행복한 한 해 되세요. 새해 복 많이 받으세요.,0
0,건강하고 행복한 한 해 되시길 바랍니다. 새해 복 많이 받으세요.,0
330,새해에는 건강하고 모든 소망이 이루어지는 한해 되길 바랍니다. 새해 복 많이 받으세요.,0
374,건강하고 행복한 2024년 되길.,0
136,"곧 올 해가 끝난다니 시간이 정말 빠르네요. 너무 아쉽지만, 올 해 마무리 잘해 잘 보내주고 2024년을 기쁘게 맞이해 봅시다.",0
208,지난 한 해 동안 정말 감사했습니다.올해도 좋은 가르침 부탁드립니다. 항상 건강하시고 가정에 평안이 깃드시길 바라겠습니다.,0
