id,sentence,label
1,부모님께서 항상 효도로 가르침 주셔서 감사합니다.,10
2,언제나 저희를 위해 헌신해주시는 부모님에게 감사드립니다.,10
3,부모님의 효도 정신에 감동받아 더욱 노력하겠습니다.,10
4,늘 효도의 중요성을 깨닫게 해주시는 부모님께 감사드립니다.,10
5,부모님의 사랑과 효도 정신이 저에게 큰 힘이 됩니다.,10
6,효도는 가장 소중하고 아름다운 은혜입니다.,10
7,부모님의 효도 정신이 저에게는 큰 보탬이 됩니다.,10
8,부모님께 감사의 마음을 전해드리고 싶습니다.,10
9,부모님께서 가르쳐주시는 효도의 중요성을 몸소 느낍니다.,10
10,부모님을 위해 더 많이 효도하는 사람이 되고 싶습니다.,10
11,부모님의 가르침에 따라 효도의 길을 걸어가겠습니다.,10
12,부모님의 효도 정신이 저에게는 큰 자랑입니다.,10
13,부모님의 효도 정신이 나를 성장시켜줍니다.,10
14,늘 부모님을 위해 더 많이 노력하고 효도하겠습니다.,10
15,부모님의 효도 정신이 나를 더욱 겸손하게 만듭니다.,10
16,부모님의 효도 정신은 영원히 가슴속에 간직하겠습니다.,10
17,부모님께서 제자리에서 효도하는 모습이 참으로 멋지십니다.,10
18,부모님의 효도 정신을 잊지 않고 끝까지 지키겠습니다.,10
19,부모님께 감사의 뜻을 전하며 더욱 효도하겠습니다.,10
20,부모님께서 가르쳐주신 효도 정신을 실천하도록 노력하겠습니다.,10
21,부모님의 효도 정신이 나를 더욱 완전한 사람으로 만듭니다.,10
22,부모님의 효도 정신은 저에게 큰 도전과 성장의 기회가 됩니다.,10
23,부모님께서 저에게 가르쳐준 효도의 미덕을 따라가겠습니다.,10
24,부모님의 효도 정신은 저를 더욱 강하고 올바른 길로 이끕니다.,10
25,부모님의 효도 정신이 나를 더욱 성숙하게 만듭니다.,10
26,부모님을 위해 더욱 노력하고 효도하는 모습을 보여드리겠습니다.,10
27,부모님의 효도 정신이 나를 더욱 용기를 갖게 만듭니다.,10
28,부모님을 위해 더욱 효도하는 모습을 보여드리고 싶습니다.,10
29,부모님의 효도 정신은 나에게 큰 울타리가 됩니다.,10
30,부모님의 효도 정신으로 더 나은 사람이 될 수 있기를 바랍니다.,10
31,부모님의 사랑과 효도 정신에 감사드립니다.,10
32,부모님을 위해 더욱 노력하고 효도하겠습니다.,10
33,부모님의 효도 정신에서 더 많은 교훈을 받고 있습니다.,10
34,부모님의 효도 정신이 나를 더욱 존경스럽게 만듭니다.,10
35,부모님을 위해 더욱 애를 써서 효도하는 모습을 보여드리겠습니다.,10
36,부모님의 사랑과 효도 정신이 나를 더욱 강하게 만듭니다.,10
37,부모님의 효도 정신에 영원토록 감사드립니다.,10
38,부모님을 위해 더욱 노력하고 효도하겠습니다.,10
39,부모님의 가르침에 따라 효도하는 모습을 보여드리겠습니다.,10
40,부모님의 효도 정신은 나에게 큰 자랑입니다.,10
41,부모님의 효도 정신으로 나를 성장시켜주시는 것을 감사합니다.,10
42,부모님의 효도 정신이 나를 더욱 성숙하게 만듭니다.,10
43,부모님을 위해 더욱 효도하는 모습을 지속적으로 보여드리겠습니다.,10
44,부모님의 효도 정신이 나를 더욱 감사한 사람으로 만듭니다.,10
45,부모님의 효도 정신이 나에게 큰 영감이 됩니다.,10
46,부모님을 위해 더욱 노력하고 효도하는 사람이 되고 싶습니다.,10
47,부모님의 효도 정신은 나에게 큰 자랑이 됩니다.,10
48,부모님의 효도 정신으로 더욱 좋은 사람이 되도록 노력하겠습니다.,10
49,부모님의 가르침에 따라 효도의 길을 지켜가겠습니다.,10
50,부모님의 효도 정신은 저에게 큰 영감과 힘이 됩니다.,10
