id,sentence,label
1,어버이 날을 맞아 엄마아빠께 깊은 감사와 사랑을 전합니다.,10
2,엄마아빠께 언제나 힘과 사랑을 받고 있어서 감사합니다.,10
3,세상에서 가장 소중한 엄마와 아빠에게 행복한 어버이 날이 되기를 기대합니다.,10
4,우리 엄마아빠께 이 마음이 닿을 수 있기를 진심으로 바랍니다.,10
5,항상 편안함과 사랑으로 가득한 가정을 만들어주신 엄마아빠에게 감사합니다.,10
6,"언제나 내 곁에서 가장 든든한 존재인 엄마아빠, 사랑합니다.",10
7,엄마아빠의 노고에 대한 감사와 사랑을 마음 한 켠에 담아두고 있습니다.,10
8,엄마아빠께 받은 사랑과 격려에 대해 언제나 감사하고 있습니다.,10
9,"어버이 날을 맞아, 나의 모든 사랑을 엄마아빠에게 전합니다.",10
10,엄마아빠께 오늘 하루가 특별하고 행복한 날이 되기를 기도합니다.,10
11,언제나 엄마아빠에게 받은 사랑을 기억하며 고맙다고 전합니다.,10
12,엄마아빠께 내 마음이 전해지길 바라며 우리 가족에게 행복을 빕니다.,10
13,"엄마아빠의 빛나는 사랑에 감사하고, 세상에서 가장 사랑합니다.",10
14,나를 위해 늘 헌신하고 사랑해주시는 엄마아빠께 감사를 전합니다.,10
15,어버이 날을 맞아 엄마아빠께 특별한 사랑을 전하고 싶어요.,10
16,"엄마아빠께 항상 좋은 일만 있기를, 건강하시고 사랑합니다.",10
17,엄마아빠께 나는 항상 감사하며 사랑하고 있습니다.,10
18,엄마아빠에게 받은 사랑을 다시 한번 고마운 마음으로 전합니다.,10
19,"세상에서 단 하나뿐인 엄마아빠, 사랑합니다. 언제나 행복하시길 바랍니다.",10
20,엄마아빠가 없었다면 나는 없었을 것이라는 것을 항상 감사함을 가지며 사랑합니다.,10
21,"어버이 날을 맞아, 엄마아빠께 제 마음을 가득 담아 전합니다.",10
22,항상 나의 편에 서서 가장 든든한 존재인 엄마아빠에게 사랑을 보냅니다.,10
23,"엄마아빠께 받은 사랑에 대해 말로 다 표현할 수 없지만, 언제나 감사합니다.",10
24,나에게 가장 소중한 엄마아빠께 어버이 날을 맞아 사랑을 전합니다.,10
25,엄마아빠의 무한한 투사와 따뜻한 사랑에 항상 감사하고 있습니다.,10
26,"엄마아빠와 함께 행복한 순간들을 나누고 싶어요. 감사합니다, 사랑합니다.",10
27,"엄마아빠께 언제나 받은 사랑에 진심으로 감사하고, 사랑합니다.",10
28,어버이 날을 맞아 엄마아빠에게 감사와 사랑을 전합니다.,10
29,엄마아빠께 영원한 사랑과 존경을 바랍니다. 행복하세요.,10
30,엄마와 아빠에게 보내는 마음이 가득한 어버이 날이 되길 바래요.,10
31,"엄마아빠께 받은 사랑에 대해 늘 감사하며, 사랑합니다.",10
32,엄마아빠께 오늘 하루가 특별하고 따뜻한 날이 되길 기원합니다.,10
33,"엄마아빠에 대한 마음을 다 할 수 없지만, 항상 사랑하고 감사하고 있습니다.",10
34,세상에서 제일 특별한 엄마아빠에게 어버이 날 축하와 사랑을 전합니다.,10
35,엄마아빠께 받은 무한한 사랑과 격려에 감사합니다. 사랑합니다.,10
36,나의 삶에 기적 같은 존재인 엄마아빠께 감사하고 사랑합니다.,10
37,"엄마아빠가 지닌 무한한 사랑에 항상 감사하며, 사랑합니다.",10
38,"어버이 날을 맞아, 엄마아빠께 제 마음을 전하며 행복을 빕니다.",10
39,"엄마아빠께 항상 받은 따스한 사랑에 감사하며, 사랑합니다.",10
40,엄마아빠가 있어서 나는 행복합니다. 항상 감사하고 사랑합니다.,10
41,언제나 나의 곁에서 힘이 되어주신 엄마아빠에게 감사합니다.,10
42,"엄마와 아빠께, 항상 아끼고 사랑하는 나의 마음을 전합니다.",10
43,엄마아빠에 대한 무한한 사랑을 가슴 깊이 담아 세상에서 가장 사랑합니다.,10
44,"오늘은 어버이 날, 나의 엄마아빠께 사랑과 감사를 전합니다.",10
45,엄마아빠께 받은 사랑에 대한 감사를 담아 세상에서 가장 사랑합니다.,10
46,엄마아빠에게 받은 사랑과 배움에 대해 항상 감사하며 사랑합니다.,10
47,"어버이 날, 나의 가장 소중한 엄마와 아빠에게 감사와 사랑을 전합니다.",10
48,엄마아빠께 든든한 힘이 되어주신 모든 것에 대해 감사하며 사랑합니다.,10
49,엄마아빠께 온 마음을 담아 어버이 날을 축하하며 사랑을 전합니다.,10
50,언제나 나의 곁에서 행복을 주는 엄마아빠께 감사하고 사랑합니다.,10
