id,sentence,label
1,크리스마스의 기쁨이 가정에 축복으로 가득하길 기원합니다. 풍성한 연말 되세요.,12
2,평화롭고 따뜻한 크리스마스가 되길 기대합니다. 즐거운 연말 보내세요.,12
3,밝고 행복한 크리스마스를 맞이하길 바랍니다. 기쁨으로 물들은 연말 되세요.,12
4,사랑과 행복이 넘치는 크리스마스를 보내세요. 따뜻한 연말이 되길 바랍니다.,12
5,성탄절은 모두에게 축복과 기쁨을 안겨줍니다. 행복한 연말이 되시길.,12
6,따스하고 아름다운 크리스마스를 보내세요. 사랑과 평화로 가득찬 마지막 날 되길 바랍니다.,12
7,성탄절에는 소중한 사람들과 함께한 순간이 최고입니다. 특별한 연말을 보내세요.,12
8,우리 모두가 함께하는 크리스마스가 가득하길 기대합니다. 즐거운 연말이 되시길.,12
9,사랑스럽고 특별한 크리스마스가 되길 바랍니다. 아름다운 연말을 보내세요.,12
10,크리스마스의 기쁨과 따뜻함이 가득한 시간을 보내세요. 행복한 연말 되시길.,12
11,이른 크리스마스 축하를 전합니다. 즐겁고 기억에 남는 연말 보내세요.,12
12,크리스마스 이브의 특별함을 느껴보세요. 사랑과 풍요로운 연말 되시길.,12
13,이번 크리스마스는 특별한 날이 되길 바랍니다. 따뜻하고 행복한 연말을 보내세요.,12
14,크리스마스의 기쁨으로 설레는 연말을 함께하길 기대합니다. 특별한 시간 보내세요.,12
15,사랑의 기운이 가득한 크리스마스를 맞아 행복한 연말 되세요.,12
16,크리스마스의 따스함과 기쁨이 마음 가득히 가득해지길 기원합니다. 행복한 연말을 보내세요.,12
17,고요하고 아름다운 크리스마스를 보내세요. 풍요와 축복이 함께하기를 기대합니다.,12
18,크리스마스의 기쁨을 만끽하고 행복한 연말을 보내세요. 특별한 시간이 되길 바랍니다.,12
19,성탄절을 축하하며 사랑과 기쁨이 넘치는 연말 보내세요. 특별한 크리스마스 되시길.,12
20,크리스마스의 별빛이 모두를 비추어주길 바랍니다. 아름다운 연말 보내세요.,12
21,따뜻하고 특별한 크리스마스를 맞이하길 기대합니다. 즐거운 연말 되세요.,12
22,크리스마스는 사랑과 풍요로움이 함께하는 날입니다. 행복이 넘치는 연말을 보내세요.,12
23,모두가 행복한 크리스마스를 보내길 기대합니다. 소중한 연말이세요.,12
24,사랑을 전하는 크리스마스를 맞이하길 바랍니다. 특별한 연말이 되길.,12
25,크리스마스는 특별한 기억을 만들어주는 날입니다. 아름다운 연말 보내세요.,12
26,사랑과 평화가 넘치는 크리스마스를 보내세요. 풍요로운 연말 되시길.,12
27,크리스마스로 인한 기쁨이 가득한 마지막 날이 되길 기대합니다. 아름다운 연말 보내세요.,12
28,사랑으로 담은 크리스마스가 되길 바랍니다. 특별한 연말이 되시길.,12
29,따뜻하고 아름다운 크리스마스를 맞이하길 기대합니다. 즐거운 연말 되세요.,12
30,크리스마스 기쁨이 넘치는 마음을 전해보세요. 즐겁고 평화로운 연말 보내세요.,12
31,사랑과 행복이 넘치는 크리스마스를 맞이하길 바랍니다. 평화로운 연말 되세요.,12
32,크리스마스 기쁨에 마음이 몽글몽글해지길 바랍니다. 즐거운 연말 보내세요.,12
33,성탄절을 기쁨으로 채우고 사랑으로 가득 채워보세요. 아름다운 연말 되세요.,12
34,크리스마스 기쁨이 모두에게 전달되길 바랍니다. 특별하고 행복한 연말이 되세요.,12
35,사랑스럽고 아름다운 크리스마스를 맞이하길 기대합니다. 따뜻하고 평화로운 연말 보내세요.,12
36,크리스마스는 특별한 순간을 만들어주는 날입니다. 아름다운 연말 보내세요.,12
37,모두가 행복한 크리스마스를 맞이하길 바랍니다. 따뜻하고 즐거운 연말 되세요.,12
38,사랑과 따뜻함이 넘치는 크리스마스를 보내세요. 평화롭고 기쁨 가득한 연말이 되길 바랍니다.,12
39,크리스마스의 기쁨으로 즐거운 마지막을 맞이하세요. 아름다운 연말 보내세요.,12
40,사랑과 축복이 담긴 크리스마스를 맞이하길 기대합니다. 기쁨 가득한 연말이 되세요.,12
41,따뜻하고 아름다운 크리스마스를 보내길 바랍니다. 평화롭고 행복한 연말 되세요.,12
42,크리스마스의 기쁨이 넘치는 마음으로 즐거운 연말을 보내세요. 평화롭고 아름다운 연말이 되길 바랍니다.,12
43,사랑과 따스함으로 가득한 크리스마스를 맞이하길 바랍니다. 즐겁고 기쁜 연말 되세요.,12
44,성탄절에는 상호간의 사랑과 이해가 더 해지길 바랍니다. 아름다운 연말 보내세요.,12
45,크리스마스의 기쁨이 가득한 마음으로 즐거운 날을 보내세요. 평화로운 연말 되세요.,12
46,사랑과 풍요로움이 넘치는 크리스마스를 맞이하길 기대합니다. 아름다운 연말이 되세요.,12
47,크리스마스의 기쁨이 모두에게 가득 채워지길 바랍니다. 즐겁고 평화로운 연말 보내세요.,12
48,사랑과 축복이 넘치는 크리스마스를 맞이하길 기원합니다. 아름다운 연말 되세요.,12
49,따뜻하고 특별한 크리스마스를 보내길 기대합니다. 즐겁고 평화로운 연말 되세요.,12
50,크리스마스를 사랑과 따스함으로 가득 채워보세요. 아름다운 연말 보내세요.,12
