id,sentence,label
1,"5월, 스승의 날을 맞아 감사와 존경을 담아 인사드립니다.",10
2,5월에 스승의 날을 맞아 건강과 행복이 가득하시길 바랍니다.,10
3,"스승의 달 5월, 항상 고맙고 존경하며 기억하고 있습니다.",10
4,5월에 스승의 날을 맞이하여 늘 감사와 경의를 표합니다.,10
5,"스승의 날을 맞이하는 5월, 항상 건강하시고 행복하세요.",10
6,"5월은 스승의 달, 항상 감사하고 존경하며 기억합니다.",10
7,"스승의 날을 맞아 5월, 늘 건강하고 행복하시길 바랍니다.",10
8,5월에 스승의 날을 맞아 존경과 감사의 마음을 전합니다.,10
9,"스승의 날을 맞아 5월, 항상 건강하고 행복하시길 바랍니다.",10
10,5월은 스승의 날을 맞아 존경과 사랑을 전합니다.,10
11,"스승의 달 5월, 항상 감사하고 존경하며 빛나는 마음으로 생각합니다.",10
12,5월에 스승의 날을 맞아 늘 감사와 존경을 표합니다.,10
13,"스승의 날을 맞이하는 5월, 늘 건강하시고 행복하세요.",10
14,"5월은 스승의 달, 항상 감사하고 존경한 마음을 전합니다.",10
15,"스승의 날을 맞이하는 5월, 늘 건강하고 행복하시길 바랍니다.",10
16,5월에 스승의 날을 맞이하여 존경과 감사를 드립니다.,10
17,"스승의 날을 맞아 5월, 항상 건강하고 행복하세요.",10
18,"5월은 스승의 달, 항상 감사하고 존경하며 빛나는 마음으로 생각합니다.",10
19,5월에 스승의 날을 맞아 늘 감사와 존경을 표합니다.,10
20,"스승의 날을 맞이하는 5월, 늘 건강하시고 행복하세요.",10
21,"5월은 스승의 달, 항상 감사하고 존경한 마음을 전합니다.",10
22,"스승의 날을 맞이하는 5월, 늘 건강하고 행복하시길 바랍니다.",10
23,5월에 스승의 날을 맞이하여 존경과 감사를 드립니다.,10
24,"스승의 날을 맞아 5월, 항상 건강하고 행복하세요.",10
25,"5월은 스승의 달, 항상 감사하고 존경하며 빛나는 마음으로 생각합니다.",10
26,"스승의 날을 맞이하는 5월, 늘 건강하시고 행복하세요.",10
27,5월에 스승의 날을 맞아 늘 감사와 존경을 표합니다.,10
28,"스승의 날을 맞이하는 5월, 늘 건강하시고 행복하세요.",10
29,"5월은 스승의 달, 항상 감사하고 존경한 마음을 전합니다.",10
30,5월에 스승의 날을 맞이하여 존경과 감사를 드립니다.,10
31,"스승의 날을 맞아 5월, 항상 건강하고 행복하세요.",10
32,"5월은 스승의 달, 항상 감사하고 존경하며 빛나는 마음으로 생각합니다.",10
33,5월에 스승의 날을 맞이하여 늘 감사와 존경을 표합니다.,10
34,"스승의 날을 맞이하는 5월, 늘 건강하시고 행복하세요.",10
35,"5월은 스승의 달, 항상 감사하고 존경한 마음을 전합니다.",10
36,"스승의 날을 맞이하는 5월, 늘 건강하시고 행복하세요.",10
37,5월에 스승의 날을 맞아 존경과 감사를 드립니다.,10
38,"스승의 날을 맞아 5월, 항상 건강하고 행복하세요.",10
39,"5월은 스승의 달, 항상 감사하고 존경하며 빛나는 마음으로 생각합니다.",10
40,5월에 스승의 날을 맞이하여 늘 감사와 존경을 표합니다.,10
41,"스승의 날을 맞이하는 5월, 늘 건강하시고 행복하세요.",10
42,"5월은 스승의 달, 항상 감사하고 존경한 마음을 전합니다.",10
43,"스승의 날을 맞이하는 5월, 늘 건강하시고 행복하세요.",10
44,5월에 스승의 날을 맞아 존경과 감사를 드립니다.,10
45,"스승의 날을 맞아 5월, 항상 건강하고 행복하세요.",10
46,"5월은 스승의 달, 항상 감사하고 존경하며 빛나는 마음으로 생각합니다.",10
47,5월에 스승의 날을 맞이하여 늘 감사와 존경을 표합니다.,10
48,"스승의 날을 맞이하는 5월, 늘 건강하시고 행복하세요.",10
49,"5월은 스승의 달, 항상 감사하고 존경한 마음을 전합니다.",10
50,"스승의 날을 맞이하는 5월, 늘 건강하시고 행복하세요.",10
