id,sentence,label
1,"존경하는 선생님, 항상 감사드립니다. 스승의 날을 맞이하여 더욱더 감사하고 존경하는 마음을 다지게 되었습니다.",10
2,"사명을 다하시는 선생님, 항상 감사합니다. 스승의 날을 맞아 선생님께 마음을 전하고 감사의 뜻을 표현합니다.",10
3,"가르침으로 길을 밝히시는 선생님, 진심으로 감사드립니다. 스승의 날을 맞아 선생님에 대한 존경과 감사의 마음을 전합니다.",10
4,"지혜와 사랑으로 가르치시는 선생님, 항상 감사합니다. 스승의 날을 맞아 선생님을 존경하며 더욱 감사한 마음을 표현합니다.",10
5,"학생들을 이끄시는 선생님, 진심으로 감사합니다. 스승의 날을 맞이하여 선생님에게 감사하고 존경하는 마음을 전합니다.",10
6,"항상 노고 많으신 선생님, 진심으로 감사합니다. 스승의 날을 맞아 선생님의 가르침에 감사하고 존경의 마음을 전합니다.",10
7,"지혜롭게 가르치시는 선생님, 항상 감사합니다. 스승의 날을 맞이하여 선생님에게 감사하고 존경하는 마음을 전합니다.",10
8,"나의 길을 밝혀주시는 선생님, 진심으로 감사드립니다. 스승의 날을 맞아 더욱 감사하고 존경하는 마음을 가지게 되었습니다.",10
9,선생님의 사랑과 가르침에 감사드립니다. 스승의 날을 맞아 선생님을 존경하고 감사하는 마음을 전합니다.,10
10,"학문의 길로 인도해주시는 선생님, 항상 감사합니다. 스승의 날을 맞아 선생님께 오랜 감사와 존경을 표현합니다.",10
11,"지식의 나무를 심어주시는 선생님, 진심으로 감사합니다. 스승의 날을 맞아 선생님에게 감사하고 존경하는 마음을 전합니다.",10
12,"선생님의 가르침으로 성장하는 우리, 진심으로 감사합니다. 스승의 날을 맞아 선생님에게 마음을 전하며 감사의 뜻을 전합니다.",10
13,"길을 밝혀주시는 선생님, 항상 감사합니다. 스승의 날을 맞아 선생님에게 감사의 마음을 전하고 존경을 표현합니다.",10
14,"가르치는 힘으로 우리를 이끄시는 선생님, 진심으로 감사합니다. 스승의 날을 맞아 선생님을 존경하며 감사하는 마음을 전합니다.",10
15,선생님의 사랑과 지혜에 감사합니다. 스승의 날을 맞이하여 선생님을 존경하고 감사하는 마음을 전합니다.,10
16,"나의 마음을 밝혀주시는 선생님, 항상 감사합니다. 스승의 날을 맞아 선생님에게 오랜 감사와 존경을 표현합니다.",10
17,"가르침으로 성장하는 우리들, 선생님께 감사드립니다. 스승의 날을 맞아 선생님에게 마음을 전하고 감사하는 뜻을 표현합니다.",10
18,"항상 밝은 모습으로 가르치시는 선생님, 진심으로 감사합니다. 스승의 날을 맞아 선생님을 존경하고 감사하는 마음을 전합니다.",10
19,"지혜와 사랑으로 선생님께서 이끄시는 우리, 항상 감사합니다. 스승의 날을 맞아 선생님에게 감사하고 존경하는 마음을 전합니다.",10
20,"학문의 나뭇가지가 되어 주시는 선생님, 진심으로 감사합니다. 스승의 날을 맞아 선생님에게 감사하고 존경하는 마음을 전합니다.",10
21,"선생님의 가르침에 새로운 모습을 찾아가는 우리, 진심으로 감사합니다. 스승의 날을 맞아 선생님에게 감사와 존경을 표현합니다.",10
22,선생님의 따뜻한 사랑과 지혜에 감사합니다. 스승의 날을 맞이하여 선생님을 존경하고 감사하는 마음을 전합니다.,10
23,"선생님의 지혜와 사랑으로 길을 안내받는 우리, 항상 감사합니다. 스승의 날을 맞아 선생님에게 감사하고 존경하는 마음을 전합니다.",10
24,"우리를 이끄는 선생님, 항상 감사합니다. 스승의 날을 맞아 선생님에게 감사의 마음을 전하고 존경을 표현합니다.",10
25,"선생님의 따뜻한 사랑으로 세계를 보는 우리, 진심으로 감사합니다. 스승의 날을 맞아 선생님에게 마음을 전하고 감사하는 뜻을 표현합니다.",10
26,"가르침을 통해 나아가는 길을 보여주시는 선생님, 항상 감사합니다. 스승의 날을 맞아 선생님을 존경하며 감사하는 마음을 전합니다.",10
27,"우리를 이끄시는 선생님, 진심으로 감사합니다. 스승의 날을 맞아 선생님에게 감사와 존경을 표현합니다.",10
28,"선생님의 가르침으로 성장하는 우리, 항상 감사합니다. 스승의 날을 맞아 선생님에게 마음을 전하고 감사하는 뜻을 표현합니다.",10
29,"학문의 길을 밝혀주시는 선생님, 항상 감사합니다. 스승의 날을 맞아 선생님을 존경하고 감사하는 마음을 전합니다.",10
30,"선생님의 가르침으로 성장하는 우리, 진심으로 감사합니다. 스승의 날을 맞아 선생님에게 오랜 감사와 존경을 표현합니다.",10
31,"항상 밝은 모습으로 이끌어주는 선생님, 진심으로 감사합니다. 스승의 날을 맞아 선생님을 존경하며 감사하는 마음을 전합니다.",10
32,"선생님의 가르침에 새로운 길을 찾아가는 우리, 항상 감사합니다. 스승의 날을 맞아 선생님에게 감사하고 존경하는 마음을 전합니다.",10
33,"길을 밝혀주시는 선생님, 항상 감사합니다. 스승의 날을 맞아 선생님에게 감사의 마음을 전하고 존경을 표현합니다.",10
34,"선생님의 지혜와 사랑으로 우리를 이끄는 모습, 진심으로 감사합니다. 스승의 날을 맞아 선생님에게 감사하고 존경하는 마음을 전합니다.",10
35,"학문의 도정을 제시해주시는 선생님, 항상 감사합니다. 스승의 날을 맞아 선생님을 존경하고 감사하는 마음을 전합니다.",10
36,선생님의 따뜻한 사랑과 지혜에 감사합니다. 스승의 날을 맞이하여 선생님을 존경하고 감사하는 마음을 전합니다.,10
37,선생님께서 이끌어주시는 길에 감사합니다. 스승의 날을 맞아 선생님께 마음을 전하고 감사의 뜻을 전합니다.,10
38,"우리를 가르치는 멋진 선생님, 항상 감사합니다. 스승의 날을 맞아 선생님에 대한 감사와 존경을 표현합니다.",10
39,"선생님의 가르침으로 나아가는 우리, 진심으로 감사합니다. 스승의 날을 맞아 선생님에게 마음을 전하고 감사하는 뜻을 표현합니다.",10
40,"학문의 길을 밝혀주는 선생님, 항상 감사합니다. 스승의 날을 맞아 선생님을 존경하고 감사하는 마음을 전합니다.",10
41,선생님의 바른 가르침에 감사하는 마음을 전합니다. 스승의 날을 맞아 선생님에게 감사하고 존경하는 마음을 전합니다.,10
42,선생님의 사랑과 지혜에 감사합니다. 스승의 날을 맞이하여 선생님을 존경하고 감사하는 마음을 전합니다.,10
43,"학문을 향한 열정으로 이끄시는 선생님, 항상 감사합니다. 스승의 날을 맞아 선생님에게 감사하고 존경하는 마음을 전합니다.",10
44,"선생님의 따뜻한 사랑으로 가르치시는 우리, 진심으로 감사합니다. 스승의 날을 맞아 선생님에게 마음을 전하고 감사하는 뜻을 표현합니다.",10
45,"새로운 길을 열어주시는 선생님, 진심으로 감사합니다. 스승의 날을 맞아 선생님에게 감사하고 존경하는 마음을 전합니다.",10
46,"선생님의 가르침으로 성장하는 우리, 항상 감사합니다. 스승의 날을 맞아 선생님에게 오랜 감사와 존경을 표현합니다.",10
47,항상 밝은 모습으로 선생님께 감사합니다. 스승의 날을 맞아 선생님을 존경하며 감사하는 마음을 전합니다.,10
48,"선생님의 가르침에 새로운 미래를 그려가는 우리, 항상 감사합니다. 스승의 날을 맞아 선생님에게 마음을 전하고 감사하는 뜻을 표현합니다.",10
49,"길을 안내해주는 선생님, 항상 감사합니다. 스승의 날을 맞아 선생님에게 감사의 마음을 전하고 존경을 표현합니다.",10
50,"선생님의 지혜와 사랑으로 나아가는 길, 항상 감사합니다. 스승의 날을 맞아 선생님에게 감사하고 존경하는 마음을 전합니다.",10
