id,sentence,label
1,졸업 축하해요! 앞으로의 여정이 빛나는 모험으로 가득하길 바래요.,9
2,졸업을 축하합니다! 새로운 시작이 무한한 기회로 이어지길 기원해요.,9
3,졸업을 맞아 축하드려요! 미래가 너에게만큼 밝고 행복하길 바랄게.,9
4,졸업 축하해요! 너의 꿈을 향한 여정이 더욱 풍요로워지길 기원해요.,9
5,졸업을 축하드려요! 당당히 앞으로 나아가며 성공을 향해 나아가길 바래요.,9
6,졸업을 맞이해 축하드려요! 너의 미래가 빛나는 모든 순간으로 가득하기를 기대해요.,9
7,"졸업 축하해요! 네가 이룬 성취에 자부심을 느껴, 더 멋진 여정을 함께하길 바래요.",9
8,졸업을 축하합니다! 너의 꿈을 향한 열정이 더욱 강인하게 이어지길 바라요.,9
9,졸업을 축하해요! 지난날의 고생이 빛나는 미래로 이어지길 바래요.,9
10,졸업 축하해요! 앞으로의 성공과 행운이 함께하는 멋진 시간을 보내길 기원해요.,9
11,졸업을 축하합니다! 미래는 너의 노력과 열정에 걸맞은 멋진 결과를 보여줄 거에요.,9
12,"축하해요, 졸업을 맞아! 새로운 도전과 성장이 빛나는 순간으로 이어지길 기원해요.",9
13,졸업을 축하해요! 너의 미래가 행복과 성공으로만 가득하길 바랄게.,9
14,졸업을 축하합니다! 당당하고 자신감 넘치는 네 행보에 박수를 보내요.,9
15,졸업을 맞이해 축하해요! 너의 인내와 노력이 빛나는 여정으로 이어지길 기원해요.,9
16,졸업을 축하해요! 너의 꿈을 향한 열정이 더 큰 성과로 이어지길 바래요.,9
17,졸업 축하해요! 앞으로의 모든 순간이 행운과 기쁨으로 가득하기를 기원해요.,9
18,"졸업을 축하합니다! 네가 달려온 길의 소중함을 잊지 않고, 앞으로도 열정적으로 달려가길 바라요.",9
19,졸업을 맞이해 축하드려요! 네가 이뤄낸 성취가 더 큰 성공으로 이어지길 기도해.,9
20,졸업 축하해요! 네가 마주할 미래의 도전을 당당하게 이겨내길 기원해요.,9
21,졸업을 축하합니다! 네 인내와 노력이 빛을 발하고 너의 미래를 더욱 밝힐 거에요.,9
22,"축하해요, 졸업을 맞아! 네 힘든 시간과 노력이 빛나는 더 큰 결과로 이어지길 바래요.",9
23,졸업을 축하합니다! 너의 미래는 너의 꿈과 노력에 걸맞은 즐거움으로 가득할 거에요.,9
24,졸업을 축하해요! 성취감과 자부심이 넌 꺼질 수 없는 라이트로 빛납니다.,9
25,졸업을 축하합니다! 너의 노력과 열정이 너와 너를 보는 이들을 빛나게 하는 순간!,9
26,"졸업을 축하해요! 너는 빛나는 미래의 주인공, 수고했어, 대단해!",9
27,"졸업을 축하합니다! 성공이 너의 것이 되어가고, 미래는 빛나는 짝사랑이에요.",9
28,졸업을 맞이해 축하해요! 당당한 너를 보며 세상이 더욱 아름다워집니다.,9
29,졸업을 축하합니다! 너의 꿈과 노력이 너뿐 아니라 주변도 따뜻해지고 있어.,9
30,졸업을 축하해요! 앞으로의 모험은 너의 꿈을 더욱 눈부시게 만들 거에요.,9
31,"졸업을 축하합니다! 너의 꿈은 현실을 바꾸는 힘, 앞으로도 빛나는 날만이 기다리고 있어.",9
32,졸업을 축하해요! 너의 생활에 새로운 모험이 가득하길 바랍니다.,9
33,졸업을 맞이해 축하합니다! 당당한 네 모습이 늘 기억에 남을 거에요.,9
34,졸업을 맞이해 축하해요! 너의 강인한 의지가 앞으로를 밝게 비춰줄 거에요.,9
35,졸업을 축하해요! 너의 힘든 시간을 거둔 미래는 환한 햇살과 같아요.,9
36,졸업을 축하합니다! 너의 꿈은 세상을 새롭게 하는 원동력이 될 거에요.,9
37,졸업을 맞아 축하드려요! 앞으로의 여정이 네 안에 숨쉬는 희망으로 반짝일 거에요.,9
38,졸업을 맞이하며 축하합니다! 너의 힘든 과정이 빛나는 성취로 되어 갑니다.,9
39,"졸업을 축하해요! 미래는 너의 선택에 따라 다르겠지만, 어떠한 길도 널 응원할 거에요.",9
40,졸업을 맞이해 축하합니다! 너의 발걸음이 앞으로를 잘 나아가게 도와주길 바래요.,9
41,졸업을 맞이해 축하해요! 당당한 네 모습과 밝게 빛나는 미래를 응원해요.,9
42,졸업을 맞이해 축하합니다! 미래의 모험을 예민하게 느끼며 당당하게 나아가세요.,9
43,졸업을 축하해요! 힘든 시절의 노력이 당당함으로 이어져 빛나는 모습을 만들어내길 기원해요.,9
44,졸업을 축하합니다! 네 미래는 더 즐거워지는 여정으로 이어져요.,9
45,졸업을 맞이해 축하해요! 너의 인내와 노력이 빛나는 성취로 다가옵니다.,9
46,졸업을 축하합니다! 너의 균형있는 미래가 널 더욱 빛나게 할 거에요.,9
47,"졸업을 축하해요! 나를 믿는 당신, 늘 당당하게 앞으로 나아갑니다.",9
48,졸업을 맞이해 축하합니다! 너의 힘든 과정이 감사로운 결과로 이어집니다.,9
49,졸업을 맞이해 축하해요! 너의 당당한 미래로 걸어가는 모습이 빛날 거에요.,9
50,졸업을 축하합니다! 앞으로 당당하게 나아가는 너를 응원해요!,9
