id,sentence,label
1,이룬 것에 대한 자부심을 가져요. 졸업을 축하합니다!,9
2,노력과 열정이 있었기에 어려움을 이겨냈어요. 수고하셨습니다!,9
3,새로운 시작을 응원합니다. 앞날이 밝으리라 믿습니다.,9
4,함께했던 순간들은 소중한 추억으로 남을 거예요.,9
5,미래에 대한 설레임이 가득하길 바랍니다. 축하해요!,9
6,어려움에도 꿋꿋이 버텨내셔서 대단하십니다. 수고 많으셨어요!,9
7,이제 새로운 문을 열고 더 나은 세상으로 나아가세요.,9
8,함께했던 모든 일들이 빛나게 떠오를 거예요. 축하합니다!,9
9,흐른 땀과 노력이 결실을 맺었어요. 축하합니다!,9
10,당신의 꿈에 한 발짝 더 다가갔습니다. 진심으로 축하합니다!,9
11,오늘을 기념하는 특별한 순간을 축하합니다.,9
12,새로운 도전을 향해 한 발자국씩 나아가세요. 축하해요!,9
13,"미래에 대한 두려움을 떨쳐내고, 지금을 즐기세요.",9
14,당신의 성공은 노력과 열정의 결실입니다. 축하합니다!,9
15,내일을 더 밝게 비추는 새 출발을 응원합니다. 축하합니다!,9
16,지금까지의 노력이 결실을 맺었어요. 축하합니다!,9
17,아름다운 축제의 순간을 함께 하게 돼 영광입니다. 축하합니다!,9
18,"새로운 시작을 축하하며, 행복한 미래를 기원합니다.",9
19,끝까지 포기하지 않아서 다행이었어요. 축하합니다!,9
20,미래를 향한 새로운 도전을 응원합니다. 축하합니다!,9
21,당신의 노력과 열정을 축하합니다. 미래에 대한 기대를 가져요.,9
22,어깨를 펴고 앞으로 나아가세요. 그 길에는 행복이 가득할 거예요.,9
23,지금까지의 노력이 결실을 맺었어요. 축하해요!,9
24,앞으로 더 큰 성취를 이룰 당신을 응원해요. 축하합니다!,9
25,지난 일들이 당신을 더욱 강하게 만들었어요. 축하합니다!,9
26,새로운 시작을 맞이하여 당신의 미래가 밝을 거예요.,9
27,끈기와 열정으로 이룬 졸업을 축하합니다. 잘 했어요!,9
28,미래에 대한 희망을 가득 안고 앞으로 나아가세요.,9
29,당신의 열정과 노력이 결실을 맺었어요. 축하합니다.,9
30,새로운 도전에 대한 용기와 자신감으로 나아가세요. 축하해요!,9
31,노력과 열정이 결실을 맺었어요. 당당히 나아가세요.,9
32,내일의 꿈에 한 발 더 다가가는 당신을 응원합니다. 축하합니다!,9
33,가슴 뛰는 새로운 도전을 시작하며 축하의 인사를 드립니다.,9
34,새로운 시작을 맞이하여 당신의 미래가 밝을 거예요.,9
35,미래에 대한 희망을 가득 안고 앞으로 나아가세요.,9
36,당신의 열정과 노력이 결실을 맺었어요. 축하합니다.,9
37,새로운 도전에 대한 용기와 자신감으로 나아가세요. 축하해요!,9
38,노력과 열정이 결실을 맺었어요. 당당히 나아가세요.,9
39,내일의 꿈에 한 발 더 다가가는 당신을 응원합니다. 축하합니다!,9
40,가슴 뛰는 새로운 도전을 시작하며 축하의 인사를 드립니다.,9
41,이룬 것에 대한 자부심을 가져요. 졸업을 축하합니다!,9
42,노력과 열정이 있었기에 어려움을 이겨냈어요. 수고하셨습니다!,9
43,새로운 시작을 응원합니다. 앞날이 밝으리라 믿습니다.,9
44,함께했던 순간들은 소중한 추억으로 남을 거예요.,9
45,미래에 대한 설레임이 가득하길 바랍니다. 축하해요!,9
46,어려움에도 꿋꿋이 버텨내셔서 대단하십니다. 수고 많으셨어요!,9
47,이제 새로운 문을 열고 더 나은 세상으로 나아가세요.,9
48,함께했던 모든 일들이 빛나게 떠오를 거예요. 축하합니다!,9
49,흐른 땀과 노력이 결실을 맺었어요. 축하합니다!,9
50,당신의 꿈에 한 발짝 더 다가갔습니다. 진심으로 축하합니다!,9
