id,sentence,label
1,당신과 함께하는 모든 순간이 특별하고 소중해요.,13
2,사랑하는 당신이 내 삶을 밝혀줘요.,13
3,당신과 함께하는 모든 순간이 나에게 행복을 선물해요.,13
4,사랑한다는 말로 표현할 수 없는 당신의 소중함.,13
5,당신과 함께 한 해가 가장 빛나는 기억이에요.,13
6,당신과 함께하는 시간이 가장 소중한 기념일이에요.,13
7,당신은 나의 열정과 사랑이 담긴 특별한 사람이에요.,13
8,사랑하는 당신이 내게 준 특별한 선물.,13
9,당신이 내게 주는 사랑은 영원히 간직할 거예요.,13
10,당신과 함께하는 기념일이 내 삶의 소중한 순간이에요.,13
11,나에게도 당신처럼 사랑받을 자격이 있을까요?,13
12,내 사랑은 당신과 함께 행복을 더 향해 나아갈 거예요.,13
13,사랑스러운 당신이 나의 가장 큰 힘이에요.,13
14,당신은 내게 주는 사랑으로 채워지는 특별한 사람이에요.,13
15,당신과 함께하는 모든 순간이 나에게 선물이에요.,13
