id,sentence,label
"네, 바로 생성해 드리겠습니다",,13
1,너와 함께한 모든 순간이 특별해 지는 것 같아요.,13
2,우리의 사랑은 어느 하나 놓칠 수 없을만큼 특별해요.,13
3,"단 하루도 특별하지 않았던 날이 없어, 너와 함께.",13
4,너와 함께하는 모든 순간이 나에겐 특별한 선물이에요.,13
5,우리가 만들어가는 이야기 속에 특별함이 넘쳐나.,13
6,너와 함께 함께하는 모든 날이 특별한 이유 같아요.,13
7,너의 눈빛 하나하나가 나에게 특별한 의미를 줘요.,13
8,우리 사이의 연애는 특별함과 감동으로 가득 차 있어.,13
9,너와 함께하는 모든 순간이 특별한 기억으로 남을 거예요.,13
10,나에겐 너와의 만남이 가장 특별한 순간이었어요.,13
11,너와 함께 한 시간은 얼마나 특별할까요? 그 무한한 특별함을 함께 만들어요.,13
12,우리가 함께한 시간들은 하나같이 특별한 순간들로 기억될 거예요.,13
13,너랑 함께 할 때면 모든 게 특별한 순간이 돼요.,13
14,"우리의 사랑은 특별함으로 가득 차 있어, 그 행복을 함께 나눠요.",13
15,"우리 사이에 특별한 공간이 생겼어요, 너와 나만의 세계처럼.",13
16,너와 함께 한 시간들이 얼마나 특별한지 말로 다 표현할 수 없어요.,13
17,"자꾸 네 생각이 나서, 특별한 시간들이 피어나요.",13
18,너와 함께하는 따스한 시간이 내게는 얼마나 특별한지.,13
19,"아무리 말로 닿지 않아도, 우리의 사랑은 얼마나 특별힌지.",13
20,언제나 너와 함께 해서 너무나 특별해.,13
21,작고 따뜻한 순간들이 얼마나 특별한지.,13
22,네가 보여준 예쁜 미소 하나하나가 특별해.,13
23,우리의 사랑을 담은 순간은 얼마나 특별할까.,13
24,사소한 것 하나까지도 특별한 것 같아.,13
25,너라면 어떤 날도 특별할 거라 믿어.,13
26,네 손을 잡고 있는 순간들이 너무나 특별해.,13
27,단 하루도 너와 함께 한 날이 특별하지 않아.,13
28,우리 사이에 피어나는 감동이 얼마나 특별한지.,13
29,네 눈 속에 비춰지는 특별한 세계가 너무 아름다워.,13
30,우리가 함께 하는 시간들은 얼마나 특별할까.,13
31,하루하루가 너와 함께 특별한 시간이 돼.,13
32,너를 만나서 너무나 특별한 순간들을 쌓아가.,13
33,오늘도 얼마나 특별한 너와 함께 한다면.,13
34,우리 사랑은 얼마나 특별한지 하늘은 알 아야죠.,13
35,너와 함께하는 모든 일들이 너무나 특별해.,13
36,"눈을 마주친 순간, 얼마나 특별한 순간이었던 건지.",13
37,너와 함께 한 모든 순간들이 너무나 특별했어.,13
38,우리 간에 오가는 작은 미소들이 얼마나 특별한지.,13
39,단 하루도 모든 순간이 특별하지 않은 날이 없어.,13
40,너와 함께한 공간이 얼마나 특별했는지.,13
41,네가 있는 이 곳이 어느 때보다 너무나 특별하다.,13
42,우리 옆에서 늘 함께하는 모든 순간들이 얼마나 특별할까.,13
43,너의 미소와 함께 하는 순간이 얼마나 특별한지.,13
44,너와 함께한 날들이 얼마나 특별했는지.,13
45,너의 손을 잡고 있는 것만으로도 얼마나 특별한지.,13
46,너와 함께 영원히 함께 할 수 있다는 사실만으로도 특별하다.,13
47,우리 사이에 있던 모든 순간들이 얼마나 특별한지.,13
48,너와 함께 있는 지금 이 순간도 얼마나 특별한지.,13
49,우리 사이에 피어나는 감동이 얼마나 특별한지.,13
50,너를 사랑하는 마음이 얼마나 특별한지 느껴져. ,13
연인과의 기념일을 맞이하여 서로에게 전해줄 수 있는 달달한 메시지들이었어요,함께 특별한 날을 만들기를 바래요.,13
