id,sentence,label
1,따뜻한 마음으로 올 해 마무리를 잘 하고 새해를 맞이하세요. 메리 크리스마스!,12
2,"쌀쌀한 날씨 속에서도 따뜻한 온기로 하나 되는 이 시간, 메리 크리스마스!",12
3,온 가족이 모여 따뜻한 크리스마스를 보내세요. 즐겁고 행복한 시간 되길!,12
4,따뜻한 사랑과 희망이 충만한 성탄절 되세요. 메리 크리스마스!,12
5,이번 크리스마스는 따뜻한 느낌 가득하게 채워지길 바랍니다. 즐겁고 행복한 성탄절 되세요.,12
6,"따뜻한 마음으로 모든 이들을 위한 축복이 함께하기를 바라면서, 메리 크리스마스!",12
7,크리스마스 이브에는 따뜻한 캔들 빛 아래서 사랑과 행복에 감사를 표현해요. 즐거운 성탄절 되세요!,12
8,따뜻한 음악과 차가운 눈의 조화 속에서 평화로운 크리스마스를 맞이하세요.,12
9,"따뜻한 성탄절이 되길 바라며, 올 해 마무리를 정리하고 새해를 기대해보세요. 메리 크리스마스!",12
10,"올해 크리스마스는 따뜻한 가족과 함께 특별한 시간을 보내길 바라며, 메리 크리스마스!",12
11,"따뜻한 마음으로 모든 이의 행복을 위해 기도하며, 특별한 성탄절을 보내세요.",12
12,이번 크리스마스는 따뜻한 한가위처럼 가족과 친구들과 함께하는 것이 최고겠죠. 메리 크리스마스!,12
13,"따뜻한 손 내밀어 모든 이들에게 희망을 전달하며, 평화로운 크리스마스를 보내세요.",12
14,크리스마스 이브에는 따뜻한 차 한 잔과 사랑하는 이들과 함께하는 특별한 시간을 보내세요.,12
15,"따뜻한 손길과 따뜻한 마음으로 모든 이들을 어루만지며, 즐거운 성탄절 되세요.",12
16,"겨울이지만 따뜻한 마음으로 모든 이들을 위한 사랑과 희망을 전하며, 메리 크리스마스!",12
17,함께 나누는 따뜻한 음식과 따뜻한 대화 속에서 행복한 성탄절을 보내세요.,12
18,"따뜻한 빛과 평화, 사랑으로 모든 이들을 감싸는 성탄절을 보내세요. 메리 크리스마스!",12
19,크리스마스 이브에는 따뜻한 코코아 한 잔과 함께 사랑하는 이들과 행복한 시간을 보내세요.,12
20,"따뜻한 손길이 필요한 가까운 이에게 풍성한 사랑을 전하며, 특별한 성탄절 되세요.",12
21,"크리스마스는 따뜻한 마음으로 모든 이들에게 사랑을 전하며, 즐거운 시간을 보내세요.",12
22,"따뜻한 햇살처럼 모든 이들에게 밝은 희망과 성탄절 축복이 함께하기를 바라며, 메리 크리스마스!",12
23,"크리스마스는 따뜻한 사랑으로 모든 이를 감싸주며, 평화롭고 행복한 성탄절 되길 바랍니다.",12
24,이번 크리스마스는 따뜻한 함께 느끼는 것이 최고의 선물이 될 것입니다. 메리 크리스마스!,12
25,"따뜻한 마음으로 가족과 친구들과 함께하는 특별한 시간을 보내며, 즐거운 성탄절 되세요.",12
26,"겨울이지만 따뜻한 마음으로 모든 이들을 위로하며, 평화롭고 따뜻한 크리스마스를 보내세요.",12
27,함께 나누는 따뜻한 음식과 따뜻한 대화 속에서 즐거운 성탄절을 보내세요. 메리 크리스마스!,12
28,"따뜻한 차 한 잔과 함께 모든 이의 행복을 위한 축복을 바란다는 마음으로, 특별한 크리스마스를 보내세요.",12
