id,sentence,label
1,사랑 받는 게 너무 어려우셨죠? 이제는 제가 사랑을 돌려드릴게요.,10
2,언제나 사랑만 받다니 죄송해요. 이제는 제가 더 노력할게요.,10
3,받기만 하지말고 나누어주는 사랑이 되어야겠죠.,10
4,사랑 받는 것 말고 주는 것도 중요하다는 걸 알게 해줘서 고맙습니다.,10
5,이제는 제가 사랑 넘쳐나는 사람이 되도록 노력하겠습니다.,10
6,받는 사랑에 만족하기보다 주는 사랑에 충실해야겠죠.,10
7,어버이 날을 맞아 더 나누어주는 사랑이 되도록 노력하겠습니다.,10
8,받는 사랑이 아니라 주는 사랑이 되기 위해 당신을 배웅하겠어요.,10
9,"어버이 날을 맞아, 사랑 받는 것이 아니라 사랑 주는 사람이 되겠습니다.",10
10,받을 뿐인 사랑이 아니라 나누어주는 사랑이 되도록 노력하겠습니다.,10
11,사랑 받는 것에 만족하지 않고 더 챙겨주는 사랑이 되도록 하겠습니다.,10
12,무조건 받는 사랑이 아니라 참으로 주는 사랑에 힘써보겠습니다.,10
13,"받은 사랑에 보답하는 일이 어려웠지만, 이제는 더욱 노력하려 합니다.",10
14,"받기만 하는 사랑을 벗어나, 주는 사랑이 되도록 노력하겠습니다.",10
15,"사랑 받는 것에만 치중해왔던 저를 반성하며, 어버이 날을 맞아 더 많이 사랑하는 사람이 되겠습니다.",10
16,받는 사랑 외에도 주는 사랑이 중요하다는 걸 깨닫게 해줘서 감사합니다.,10
17,"사랑 받는 것에 대해 고맙지만, 이제는 더 많이 주는 사랑을 보여드리겠습니다.",10
18,받기만 하는 게 아니라 나누는 사랑으로 거듭날 것을 다짐합니다.,10
19,"어버이 날을 맞아 사랑 받는 것 외에도, 사랑을 나누어 주는 마음이 필요하다는 것을 깨닫게 해줘서 고맙습니다.",10
20,"지금까지는 받기만한 사랑에 만족했지만, 이제는 주는 사랑이 되기 위해 노력하겠습니다.",10
21,당신의 사랑을 받기만 하지 않고 더욱 사랑하는 사람이 될 수 있도록 노력하겠습니다.,10
22,받기만 하는 사랑이 아니라 당신을 위해 더욱 사랑하는 사람으로 거듭나겠습니다.,10
23,"과분한 사랑을 받았지만, 이제는 그 사랑에 보답하는 주는 사랑으로 변모하겠습니다.",10
24,사랑 받는 것만큼이나 사랑하는 사람이 되어 드리겠습니다.,10
25,"받는 사랑에 만족하지 않고, 주는 사랑이 되도록 행동하겠습니다.",10
26,"받고만 있던 사랑에 기대하기보다, 주는 사랑으로 거듭나겠습니다.",10
27,"어버이 날을 맞아, 받는 사랑이 아니라 주는 사랑으로 성장하겠습니다.",10
28,받기만 하지 않고 나누어 주는 사랑의 소중함을 느끼게 해줘서 감사합니다.,10
29,"사랑 받는 것으로 만족하지 않고, 주는 사랑으로 변모하기 위해 노력하겠습니다.",10
30,"어버이 날을 맞아, 받는 사랑이 아니라 나누는 사랑으로 나아가겠습니다.",10
31,받기만 하는 것이 아닌 그 사랑에 보답하는 주는 사랑이 되도록 하겠습니다.,10
32,"지금까지 받은 사랑에 보답하기보다, 더 많이 주는 사랑으로 모습을 바꾸겠습니다.",10
33,받은 사랑이 아닌 부탁하고는 다른 주는 사랑으로 변화하겠습니다.,10
34,사랑 받는 것 외에도 주는 사랑이 중요하다는 것을 깨닫게 해주셔서 감사합니다.,10
35,"어버이 날을 맞아, 받기만 하는 사랑을 벗어나서 나눠주는 사랑으로 성장하겠습니다.",10
36,사랑 받는 것이 아니라 더욱 사랑하는 사람이 되도록 노력하겠습니다.,10
37,"받기만 했던 사랑에 만족하지 않고, 주는 사랑으로 변화하겠습니다.",10
38,"어버이 날을 맞아, 나누어 주는 사랑이 되기 위해 더 힘쓰겠습니다.",10
39,받기만 하는 것이 아닌 나누어 주는 사랑으로 성장하기 위해 노력하겠습니다.,10
40,받은 사랑이 아닌 더 많이 주는 사랑이 되도록 노력하겠습니다.,10
41,당신의 사랑을 받는 것 외에도 더 많이 주는 사랑을 보여드리겠습니다.,10
42,"받은 사랑에 만족하지 않고, 나누어 주는 사랑으로 성장하겠습니다.",10
43,"어버이 날을 맞아, 받는 사랑이 아니라 주는 사랑으로 변화하겠습니다.",10
44,사랑 받는 것이 아니라 더욱 사랑하는 마음으로 행동하겠습니다.,10
45,받기만 하지 않고 주는 사랑으로 거듭나도록 하겠습니다.,10
46,"어버이 날을 맞아, 당신에게 나누어 주는 사랑이 되도록 노력하겠습니다.",10
47,받는 사랑 말고 주는 사랑에 더 집중하고자 합니다.,10
48,사랑 받는 것뿐만 아니라 사랑 나누는 마음으로 변모하도록 하겠습니다.,10
49,"받는 사랑에 만족하지 않고, 주는 사랑으로 변화하며 성장하겠습니다.",10
50,"어버이 날을 맞아, 사랑 받는 것이 아니라 나누어 주는 사랑으로 나아가겠습니다.",10
