id,sentence,label
1,수고 많았어! 앞으로는 고향길도 꽃길이 되길 바라며 졸업을 축하해.,9
2,이제부터 앞길은 모두가 함께 걷는 꽃길이 되길 바라며 졸업을 축하해.,9
3,삶의 모퉁이마다 꽃이 피도록 노력하는 그대에게 졸업 축하 인사를 보냅니다.,9
4,"오늘은 너의 하늘에 도는 꽃비가 내린 날, 졸업을 진심으로 축하해.",9
5,함께 한 지난 날의 꽃향기가 계속 되길 바라며 졸업을 축하해.,9
6,꽃들이 당신을 축복하며 졸업을 축하합니다.,9
7,꿈을 향해 걷던 길이 이제는 꽃길이 되길 바라며 졸업을 축하해.,9
8,날마다 살아남은 그대에게 오늘은 꽃길만 걷게 되길 바라며 졸업을 축하해.,9
9,꽃피는 정원에 피어난 그대처럼 빛나는 미래를 위해 졸업을 축하해.,9
10,시들었던 마음에 꽃 씨앗을 심으면 핀 꽃처럼 행복이 가득하길 바라며 졸업을 축하해.,9
11,핀 꽃처럼 아름다운 미래를 꿈꾸는 당신에게 졸업을 축하합니다.,9
12,지친 나날 속에 핀 꽃처럼 밝아지는 미래를 위해 졸업을 축하해.,9
13,살아가면서 뿌린 꽃들이 이제 빛날 때가 왔습니다. 졸업을 축하합니다.,9
14,어려움 속에서도 피어나온 꽃처럼 강인한 당신에게 졸업을 축하합니다.,9
15,한 줄기 햇살이 비추는 그대의 꽃길을 응원하며 졸업을 축하해.,9
16,가시밭길을 걷던 당신에게 이제는 꽃길만 기대하며 졸업을 축하합니다.,9
17,새로운 꽃들이 필 때까지 함께 가는 그대를 응원하며 졸업을 축하합니다.,9
18,지금까지의 노력이 꽃처럼 피어나는 순간을 축하합니다. 졸업을 축하합니다.,9
19,시들었던 마음에 꽃 씨앗을 심으면 핀 꽃처럼 행복이 가득하길 바라며 졸업을 축하해.,9
20,눈부시게 빛나는 꽃길을 향해 함께 가면 좋을 것 같아 졸업을 축하합니다.,9
21,힘은 핀 꽃처럼 더욱 아름다워진 그대를 위해 졸업을 축하합니다.,9
22,자랑스러운 졸업을 맞이하는 그대가 꽃피는 법을 보여주길 바래요. 축하합니다.,9
23,핀 꽃들처럼 아름다워진 내일을 위해 지금처럼 찬란하길 바라며 졸업을 축하합니다.,9
24,앞으로 더 많은 꽃들이 필 수 있도록 꽃길만 걷길 바라며 졸업을 축하합니다.,9
25,"오늘은 꽃 피는 정원에 있는 기분, 그대의 졸업을 진심으로 축하합니다.",9
26,눈부신 미래의 꽃을 위해 오늘은 특별했던 그대의 졸업을 축하합니다.,9
27,"어제보다 더 밝게 빛나는 당신의 내일, 꽃길만 걸어가길 바라며 졸업을 축하합니다.",9
28,"지금처럼 늘 햇살을 받아라, 그럼 핀 꽃처럼 아름다울 거야. 졸업을 축하합니다.",9
29,꽃 피는 봄날에 피어나는 당신의 미래를 밝혀주길 바랍니다. 졸업을 축하합니다.,9
30,깃털처럼 가볍게 가는 그대의 꽃길을 향해 졸업을 축하합니다.,9
31,오늘의 출발이 더 나은 내일의 시작이길 바라며 꽃길만 걸어가길 바라며 졸업을 축하합니다.,9
32,끊임없이 피어나는 꽃처럼 미래에도 밝게 미소가 깔리길 바라며 졸업을 축하합니다.,9
33,어둠이 지나면 더 밝게 빛나는 꽃처럼 행복한 미래를 위해 졸업을 축하합니다.,9
34,피어나는 꽃처럼 빛나는 내일을 꿈꾸며 행복한 졸업을 축하합니다.,9
35,걷던 길이 이제는 꽃길이 되길 바라며 빛나는 졸업을 진심으로 축하합니다.,9
36,흘린 땀과 노력이 꽃처럼 아름다운 내일을 이루길 바라며 졸업을 축하합니다.,9
37,지금의 졸업식이 그대가 더 크게 빛날 미래를 위한 한 걸음일 거라 믿으며 축하합니다.,9
38,꿈꾸던 꽃밭이 실현되어 더무화되면 좋겠다는 소망을 담아 졸업을 축하합니다.,9
39,피어나는 꽃처럼 미래에 젖어드는 행복을 위해 졸업을 축하합니다.,9
40,소중한 그대의 꽃길을 응원하며 새로운 삶의 출발을 축하합니다.,9
41,"꽃잎처럼 맑고 아름다운 내일을 위해, 그대가 함께 하는 졸업을 축하합니다.",9
42,"높게 펼쳐진 꽃잎같은 내일을 꿈꾸며, 새로운 시간에 꽃 피어나길 바라며 졸업을 축하합니다.",9
43,핀 꽃처럼 아름다워진 그대의 미래를 위해 졸업을 축하합니다.,9
44,여기저기 피어나는 꽃처럼 그대도 더욱 밝게 빛나길 바라며 졸업을 축하합니다.,9
45,"바람을 헤치고 핀 꽃처럼, 행복한 미래를 향해 걷는 그대에게 졸업을 축하합니다.",9
46,노력이 꽃으로 보답되는 순간을 축하할 수 있게 된 그대에게 졸업을 축하합니다.,9
47,새롭게 필 꽃들처럼 아름답게 핀 내일의 꿈을 이룰 수 있길 바라며 졸업을 축하합니다.,9
48,오랜 준비 끝에 이루어지는 새로운 시작을 축하합니다. 졸업을 축하합니다.,9
49,"미래가 빛날 수 있는 꽃을 위해, 함께 피우는 졸업을 축하합니다.",9
50,마침내 피어나는 그대의 꽃길을 환영합니다. 졸업을 축하합니다.,9
