id,sentence,label
1,사랑과 평화가 당신의 크리스마스를 빛내길 바랍니다.,12
2,사랑은 이 성탄절의 가장 아름다운 선물입니다.,12
3,사랑과 행복이 당신을 감싸는 이번 크리스마스가 되길 바라요.,12
4,사랑으로 가득한 크리스마스가 당신에게 찾아오길 기대해요.,12
5,사랑이 당신의 크리스마스를 특별하게 만들어 줄 거예요.,12
6,사랑의 기적이 당신을 감싸는 이 성탄절을 축복합니다.,12
7,사랑이 있는 곳에는 항상 기쁨이 있습니다. 크리스마스가 그런 날이 되길 바랍니다.,12
8,사랑은 영원한 축복이자 선물이에요. 크리스마스가 당신에게 그런 날이 되길 기대해요.,12
9,사랑의 따스함이 당신을 감싸는 이 성탄절이 되길 바래요.,12
10,사랑은 크리스마스의 핵심입니다. 이번 크리스마스는 사랑으로 가득한 날이 되길 바랍니다.,12
11,사랑하고 사랑받으며 행복한 크리스마스를 보내시길 기대해요.,12
12,사랑의 깊이로 가득한 이번 크리스마스가 당신에게 행운을 가져다줄 거예요.,12
13,사랑으로 이루어진 크리스마스는 더 없이 아름다운 축제입니다.,12
14,사랑과 소중한 사람들과 함께하는 이 크리스마스가 당신에게 뜻밖의 기쁨을 선사해줄 거예요.,12
15,사랑이 당신을 감싸는 이 크리스마스가 너무 특별하고 평화로울 거예요.,12
16,사랑의 따뜻함이 당신을 감싸는 이 크리스마스가 특별하길 바라요.,12
17,사랑이 품겨 담은 이번 크리스마스가 당신에게 크나큰 축복이 되길 바라요.,12
18,사랑으로 이루어진 메리 크리스마스가 되길 바랍니다.,12
19,사랑과 행복이 당신의 크리스마스를 만끽하게 해줄 거예요.,12
20,사랑에 감사하며 이번 크리스마스를 즐기길 바래요.,12
21,사랑하는 사람들과 함께하는 크리스마스는 영원히 기억에 남을 거예요.,12
22,사랑의 따스함이 당신의 크리스마스를 풍성하게 만들어 줄 거예요.,12
23,사랑으로 행복을 나누는 이번 크리스마스가 당신에게 특별한 선물이 되길 바래요.,12
24,사랑의 온기가 당신을 감싸는 이 크리스마스가 평화롭고 기쁨찬 시간이 되길 바래요.,12
25,사랑과 행복이 축복을 안겨주는 이 크리스마스가 특별하길 바라요.,12
26,사랑의 축제인 크리스마스가 당신을 감싸고 기쁨으로 가득 채워줄 거예요.,12
27,사랑과 소중한 사람들과 보내는 이번 크리스마스가 당신에게 뜻밖의 행운을 가져다줄 거예요.,12
28,사랑이 당신을 감싸는 이 크리스마스가 너무 아름답고 평화로울 거예요.,12
29,사랑의 따뜻함이 당신을 감싸는 이 크리스마스가 특별한 날이 되길 바랍니다.,12
30,사랑이 담긴 이번 크리스마스가 당신에게 크나큰 축복이 되길 바랍니다.,12
31,사랑으로 가득한 크리스마스의 기쁨을 당신이 느낄 수 있기를 바라요.,12
32,사랑과 행복이 당신과 함께한 이번 크리스마스가 어느 때보다 빛나길 바랍니다.,12
33,사랑으로 이루어진 크리스마스를 보내고 새해를 맞이해요.,12
34,사랑하는 가족과 함께하는 크리스마스는 최고의 선물이에요.,12
35,사랑으로 가득한 이번 크리스마스가 당신에게 큰 행운을 가져다줄 거예요.,12
36,사랑의 따뜻함이 당신을 감싸는 이 크리스마스가 특별하길 바라요.,12
37,사랑이 당신을 감싸는 이 성탄절을 특별하게 만들어 줄 거예요.,12
38,사랑과 행복이 당신의 크리스마스를 아름답게 만들어 줄 거예요.,12
39,사랑에 축복을 받은 이번 크리스마스가 당신의 마음을 따뜻하게 만들어 줄 거예요.,12
40,사랑과 행복이 당신을 감싸는 이 크리스마스가 특별한 선물이 되길 바래요.,12
41,사랑의 기적이 펼쳐지는 크리스마스가 당신에게 행복한 기억으로 남을 거예요.,12
42,"사랑의 온기가 당신을 감싸고, 기쁨과 행복이 넘치는 이 크리스마스가 되길 바라요.",12
43,사랑과 소중한 이의 크리스마스가 희망과 행복으로 가득 차있길 바래요.,12
44,사랑의 따뜻함이 당신의 크리스마스를 채워줄 거예요.,12
45,사랑으로 넘쳐나는 이번 크리스마스는 특별한 기쁨을 안겨줄 거예요.,12
46,사랑의 영혼이 당신의 크리스마스를 환히 비춰줄 거예요.,12
47,사랑과 평화가 당신을 감싸는 이 성탄절이 가장 특별할 거예요.,12
48,"사랑의 따스함이 당신을 감싸고, 크리스마스의 기쁨을 가득 느낄 거예요.",12
49,사랑이 넘치는 이번 크리스마스가 당신에게 크나큰 기쁨을 안겨줄 거에요.,12
50,사랑으로 이루어진 이번 크리스마스가 당신에게 특별한 기억으로 남을 거예요.,12
