id,sentence,label
"좋아요, 준비되었습니다",아래는 총 50개의 졸업 축하 문구 중 index와 함께 제공되는 목록입니다:,9
1,졸업을 축하해요! 당신의 힘찬 미래를 기대하며 응원할게요.,9
2,졸업의 순간을 축하합니다! 앞날이 밝고 행복하길 기원해요.,9
3,졸업을 축하해요. 더 큰 꿈을 향해 멋진 여정이 되길 바랄게요.,9
4,졸업을 축하합니다. 오늘의 성취가 그대로 행복한 미래의 시작이 되길 기대해요.,9
5,졸업을 축하해요! 새로운 시작이 당신에게 행운과 성공을 안겨줄 거예요.,9
6,졸업을 축하합니다. 이제부터 더 많은 것을 경험하며 성장하는 모습을 응원할게요.,9
7,졸업을 축하해요. 오늘의 성공은 미래의 행복을 위한 출발점이 되리라 믿는답니다.,9
8,졸업을 축하합니다. 더 큰 꿈과 행복이 가득한 새로운 시작을 응원할게요.,9
9,졸업을 축하해요. 당신의 미래가 밝고 행복으로 가득할 거라 믿어요.,9
10,졸업을 축하합니다. 이 순간이 여러분의 새로운 모험의 시작이 되길 기원합니다.,9
11,졸업을 축하해요! 당신의 미래가 빛날 수 있도록 응원할게요.,9
12,졸업을 축하합니다. 미래가 기대되고 행복한 순간들이 가득할 거라 믿어요.,9
13,졸업을 축하해요! 당신의 성공을 함께 기뻐해주고 응원할게요.,9
14,졸업을 축하합니다. 오늘의 성취가 미래의 행복으로 이어질 것을 믿어요.,9
15,졸업을 축하해요. 당신의 미래가 밝고 행복한 여정이 되길 바랄게요.,9
16,졸업을 축하합니다. 새로운 시작이 더 큰 행복과 성공으로 이어질 수 있도록 응원할게요.,9
17,졸업을 축하해요. 오늘의 성공은 미래의 행복과 성공을 위한 출발점이 될 거예요.,9
18,졸업을 축하합니다. 미래가 기대되는 새로운 모험들로 가득 채워지길 바랄게요.,9
19,졸업을 축하해요. 당신의 미래가 행복과 성공으로 가득할 거라 믿어요.,9
20,졸업을 축하합니다. 이 순간이 당신에게 더 큰 성공과 행복을 안겨줄 거예요.,9
21,졸업을 축하해요! 당신이 간절히 바라는 꿈을 이루는 순간이 되길 기원할게요.,9
22,졸업을 축하합니다. 더 나은 미래와 더 많은 행복이 당신을 기다릴 거예요.,9
23,졸업을 축하해요. 밝고 환한 미래로 나아가는 여정에서 행운이 함께하기를 기대할게요.,9
24,졸업을 축하합니다. 당신에게 행복이 가득하고 성공만이 따르기를 바랄게요.,9
25,졸업을 축하해요. 오늘의 성취는 내일의 행복과 성공을 위한 토대가 될 거예요.,9
26,졸업을 축하합니다. 미래가 밝고 행복하며 즐거운 순간으로 가득할 것을 믿어요.,9
27,졸업을 축하해요. 당신의 미래가 빛과 행복으로 가득하길 바라며 응원할게요.,9
28,졸업을 축하합니다. 새로운 시작이 더 많은 행복과 성공을 가져다줄 거라 믿어요.,9
29,졸업을 축하해요! 당신의 미래가 밝고 환히 빛날 수 있도록 응원할게요.,9
30,졸업을 축하합니다. 새로운 모험이 행복과 성공만이 있는 여정으로 이어지길 바랄게요.,9
31,졸업을 축하해요. 오늘의 성공이 미래의 행복과 행운으로 이어진다는 것을 믿어요.,9
32,졸업을 축하합니다. 당신의 미래가 기대되며 더 큰 행복과 성공을 향해 나아갈 거예요.,9
33,졸업을 축하해요. 당신이 꿈꾸는 그 어떤 것도 이룰 수 있기를 응원할게요.,9
34,졸업을 축하합니다. 새로운 시작이 더 많은 행복과 성공으로 이끌어줄 거예요.,9
35,졸업을 축하해요. 빛나는 미래와 새로운 시작으로 당신만이 꿈꾸던 세계를 만들어갈 거예요.,9
36,졸업을 축하합니다. 당신의 미래는 행복과 성공으로 가득할 것이라 믿어요.,9
37,졸업을 축하해요. 당신의 미래가 밝고 행복을 가득 채우길 바라며 응원할게요.,9
38,졸업을 축하합니다. 이 순간이 당신에게 더 많은 행복과 성공을 가져다줄 거예요.,9
39,졸업을 축하해요! 당신의 미래가 빛나는 새로운 세계로 이끌어줄 거예요.,9
40,졸업을 축하합니다. 새로운 시작이 미래를 밝게 빛나게 할 거라 믿어요.,9
41,졸업을 축하해요. 행복과 성공이 가득한 새로운 모험이 시작되길 바랄게요.,9
42,졸업을 축하합니다. 새로운 여정에서 행복한 순간과 뜻하던 모든 것이 이루어질 거예요.,9
43,졸업을 축하해요. 당신의 미래가 행복과 성공으로 가득하고 빛나는 여정이기를 기대할게요.,9
44,졸업을 축하합니다. 당신의 앞날이 밝고 성공적으로 빛나기를 기원할게요.,9
45,졸업을 축하해요. 당신이 꿈꾸는 모든 것이 이뤄지기를 응원할게요.,9
46,졸업을 축하합니다. 미래의 여정이 더 큰 행복과 충만해진 성공으로 이어질 거라 믿어요.,9
47,졸업을 축하해요. 당신의 미래가 밝고 풍요롭고 행복한 성공으로 가득할 거라 믿어요.,9
48,졸업을 축하합니다. 이 순간이 새로운 시작을 향한 미래의 흥미진진한 여정의 첫 걸음이 되리라 믿어요.,9
49,졸업을 축하해요. 당신의 미래가 빛나고 행복으로 가득하길 기원할게요.,9
50,졸업을 축하합니다. 당신의 앞날이 밝고 더 많은 행복과 성공으로 가득할 거라 믿어요.,9
이렇게 50가지 졸업 축하 문구를 제공해드렸습니다,졸업을 축하하며 빛나는 미래로 나아가는 여정에 행운이 함께하길 바랍니다! 🎓🎉,9
