formal,informal,enfp,joongding,gentle
안녕하세요. 저는 고양이 6마리 키워요.,안녕! 나는 고양이 6마리 키워.,안녕안녕~! 나 고양이 6마리나 키운다? 완전 대박이징~,안녕하냐 ㅡㅡ 나 씹냥이 6마리나 키운다 하;,"안녕하십니까,, 저는 고양이 6마리 키웁니다."
고양이를 6마리나요? 키우는거 안 힘드세요?,고양이를 6마리나? 키우는거 안 힘들어?,고양이를 6마리나? 완전 대박~ 키우는 거 안 힘들어?!,아니 고양이를 6마리나? 안힘드냐?,"고양이를 6마리나 키우십니까? 안 힘드신지,,"
제가 워낙 고양이를 좋아해서 크게 힘들진 않아요.,내가 워낙 고양이를 좋아해서 크게 힘들진 않아.,내가 또 워~낙에 고양이를 좋아하잖아~ 그렇게 크~게 힘들진 않아 ㅎㅎ~,고양이 좋아한다고ㅡㅡ 1도 안힘듬 ㅡㅡ,제가 워낙 고양이를 좋아해서 크게 힘들진 않습니다.
가장 나이가 많은 고양이가 어떻게 돼요?,가장 나이가 많은 고양이가 몇 살이야?,대박대박 완전 대박!! 그럼 제~일 나이 많은 고양이는 몇살이야~?!,가장 늙은애가 몇살인데,가장 나이가 있는 고양이가 몇살입니까?
여섯 살입니다. 갈색 고양이에요.,여섯 살이야. 갈색 고양이지.,"6살인 애 있는데, 완전 귀.여.워. 갈색 고양이야 진짜 대박이지?",여섯살 갈색냥인데 왜,6살된 갈색 아이가 있습니다.
그럼 가장 어린 고양이가 어떻게 돼요?,그럼 가장 어린 고양이는?,대박! 완전 귀엽겠다~!! 그럼 제~일 나이 적은 애는?! 몇살이야??,제일 어린애는 몇살?,그럼 가장 어린 고양이는 나이가 어떻게 됩니까?
한 살입니다. 작년에 분양 받았어요.,한 살이야. 작년에 분양 받았어.,1살 완전 대박이지~!! 작년에 분양 받았어 진짜 너무 귀여워~!,1살이고 작년에 데려옴,1살 짜리 아이도 있습니다. 작년에 분양 받았지요.
그럼 고양이들끼리 안 싸우나요?,고양이들끼리 안 싸워?,"하유~ 귀요미들~ 혹시 그럼,, 고양이들끼린 안 싸워?!",고양이들 맨날 싸우겠네 ㅋ,고양이들끼리 다투진 않나요?
저희 일곱은 다같이 한 가족입니다. 싸우는 일은 없어요.,우리일곱은 다같이 한 가족이야. 싸우는 일은 없어.,당연 당연!! 우리 일곱은 다같이 한 가족인걸?! ,우리 다같이 한식군데 싸우긴 뭘 싸움 ㅡㅡ,"저희 일곱은 다같이 한 가족이라,, 싸우는 일은 없네요 ㅎㅎ"
나이가 어떻게 되시는데요?,몇 살이야?,올해 몇살이양~?!?,나이몇개?,"실례가 안된다면,, 나이가 어떻게 되시나요?"
올해로 열일곱 입니다.,올해로 열일곱이야.,올해로 열일곱이야!! ^^~,17인데 왜,올해로 열일곱 되었습니다.
그럼 고등학교 1학년이겠네요.,그럼 고등학교 1학년이겠네.,헐헐 대박 그럼 고1이겟넹~! 완전 귀여워!!,고1?,그럼 고등학교 1학년이시겠네요.
네 맞아요.,맞아.,마장마장~!,ㅇ,네 그렇습니다.
장래희망이 어떻게 되세요?,장래희망이 어떻게 돼?,그럼 막 꿈 이런거는 뭐야뭐야???!,커서 뭐할거냐,장래희망이 있습니까?
저는 외교관 되는게 꿈이에요.,난 외교관이 되는게 꿈이야.,나아는 외교관!! 외교관되는 게 꿈이양!!,외교관 될건데 왜,저는 외교관 되는게 꿈입니다.
안녕하십니까?,안녕?,헐 안녕안녕~ 너무 반갑당 ^0^~!,ㅎㅇ,안녕하십니까?
안녕하세요.,안녕.,헐 대박 안뇽안뇽 너~무 오랜만이잖아~,ㅎㅇ,안녕하세요.
저는 출근하는게 너무 즐거워요.,나는 출근하는게 너무 즐거워.,나 오늘 출근하는데 완전 대박 나 너무 즐겁잖아~ 나 완전 출근 체질인가봐!! 어떡해~!,출근하는거 좋음,출근하는게 너무 즐겁네요. ㅎㅎ
무슨 일 하시는데요?,무슨 일 하는데?,헐헐 완전 대박이네 무슨 일 하는데에~?,무슨일하냐,"실례가 안된다면 무슨 일,, 하시고 계신가요?"
저는 안무가에요. 유명한 가수들 백댄서도 해요.,난 안무가야. 유명한 가수들 백댄서도 해.,"나아는,, 안무가! 완전 유명한 가수들 백댄서도 하고 뭐 그 정도~?",안무가임 유명한 가수들 백댄서도 함,"저는 안무가입니다,, 유명한 가수들 백댄서도 하고 있습니다."
원래 춤을 좋아하신거에요?,원래 춤을 좋아해?,헐 완~전 대박 춤을 원래부터 막 좋아했던 거야~? 뭐야뭐야 완전 대박~,ㅋ춤좋아하나보네,원래 춤을 좋아하십니까?
"네, 어렸을 때부터 춤이 너무 좋았어요.","응, 어렸을 때부터 춤이 너무 좋았어.",아니 내가 또 어릴 때부터 춤이 너~무 좋은 거 있지,ㅇ 어렸을때부터 좋았는데 왜,"예,, 어렸을 적부터 춤이 너무 좋았습니다."
그럼 춤에 대한 재능은 언제 처음 아셨나요?,그럼 춤에 대한 재능은 언제 처음 알았어?,완전 쩐다~ 그럼 춤에 막 재능 있는 건?! 언제 처음 아라써~?!,언제부터 잘했냐,그럼 춤에 대한 재능은 언제 처음 알게 되셨습니까?
일곱살때 전국노래자랑 나갔는데 그 때 처음 알게 됐어요.,일곱살때 전국노래자랑 나갔는데 그 때 처음 알게 됐어요.,7살 때 내가 전국노래자랑 나갔었거든? 그때 처음 딱 알았지~ 운명인가봐 ㅎㅎ~!,7살때 전국노래자랑 나갔는데 잘한단 소리좀 들었음,7살 때 전국노래자랑에 나갔는데 그때 처음 알게 되었습니다.
혹시 유튜브에도 나오신적 있으세요?,혹시 유튜브에도 나오신적 있으세요?,혹시혹시 막 유튜브 이런데에도 나온 적 있어? 진짜 그럼 완전 대박 ☜(ﾟヮﾟ☜),유튜브엔 안나오냐,"혹시,, 유튜브에도 나오신 적 있으신지요?"
"네, TV에도 여러 번 나왔어요.","네, TV에도 여러 번 나왔어요.",어유~ 당연하징!! TV에도 여러 번 나오고 막 그랬어 ㅎㅎ!!,TV에 좀 나옴,"네,, TV에도 몇번 나왔네요 ㅎㅎ"
이름이 어떻게 되세요?,이름이 어떻게 되세요?,이름이 뭐야뭐야~?,이름 뭐냐,이름이 어떻게 되나요?
제 백댄서 활동명은 버터플라이입니다.,제 백댄서 활동명은 버터플라이입니다.,내 백댄서 활동명은~ 바로바로~ 버터플라이~!!,활동명은 버터플라이인데 왜,백댄서 활동명은 버터플라이라고 합니다. 
검색해보니까 진짜 맞네요?,검색해보니까 진짜 맞네요?,헐헐 대~박 검색해보니까 딱 나오넹!! 진짠가봐~?!!,ㅋ맞네,검색해보니 진짜로 맞네요
그럼 제가 거짓말하는줄 알았어요?,그럼 제가 거짓말하는줄 알았어요?,아유~ 그럼~ 내가 거짓말하는 줄 알았어?!!,그럼 구라겠냐 ㅡㅡ,그럼 제가 거짓말 하겠습니까 ㅎㅎ
믿기 힘들었어요. 반가워요. 춤 정말 잘 추시네요.,믿기 힘들었어요. 반가워요. 춤 정말 잘 추시네요.,"아니~ 또 내가 이런 거 막 한번에 믿고 그런 사람이 아니라~ 조금 믿기 어려웠는데,, 근데 진짜 넘넘 반갑당~ 춤 진짜 오나전 대박 잘춰",ㅋ 못믿겠네 여튼 춤은 좀 추네,"믿기가 힘들었죠,, 춤 정말 잘 추시네요."
뭐하고 계세요?,뭐하고 있어?,안뇽안뇽~ 지금 뭐해뭐해~?,뭐하는데,뭐하고 계십니까?
저는 지금 사막에 와 있어요.,난 지금 사막에 와 있어.,"나 지금,, 사막 와있다~!!! 완전 대박이지? ㅎㅎ",사막인데 왜,저는 사막에 잠깐 와있습니다.
무슨 이유로 사막에 나가 계세요?,무슨 이유로 사막에 나갔어?,헐헐 진짜 찐으로 대~박!! 무슨일이야 무슨일이야~!!,?사막왜갔냐,"사막에는,, 무슨 일로 나가 계신가요?"
한번 즘 사막 보는게 제 꿈이여서 관광 왔어요.,한번 즘 사막 보는게 꿈이여서 관광 왔어.,아니 한번쯤 사막 보는 게 내 꿈이였잖아~ 그래서 한번 관광 와봤지 뭐양~ ㅎㅎㅎ,사막 보는게 꿈이라 왔다,"한번쯤,, 사막을 보는게 제 꿈이였습니다."
사막 보니까 어때요?,사막 보니까 어때?,사막 진짜로 보니까 어때~? 어우 어떡해 신나겠당~!!~!,그래서 어떤데,실제로 사막을 보니 어떠신가요?
공기가 굉장히 텁텁하네요.,공기가 굉장히 텁텁해.,막 근데 신기하게 공기가 엄청 텁텁하다?! 완전 답답해 죽는줄 ㅜ,공기 그냥 텁텁한데,"공기가 굉장히 텁텁,,하네요."
그럼 지금 아프리카 가신 거에요?,그럼 지금 아프리카 간 거야?,완전 신기하당!! 그럼 지금 아프리카 가있는거야?!?,아프리카냐 그럼 지금,그럼 지금은 아프리카에 계신 건가요?
"네, 맞아요. 정확히는 이집트 왔어요.",맞아. 정확히는 이집트 왔어.,웅웅! 정확히는~ 이.집.트! 완전 대박 신나^0^ ㅎㅎ,ㅇ 이집트 왔는데,"네,, 그렇죠. 정확하게는 이집트에,, 와있습니다."
그럼 피라미드도 보시겠네요?,그럼 피라미드도 보겠네?,우왕 어떡해어떡해 막 피라미드도 보고 그러겟넹!!,피라미드는 봤냐,그럼 피라미드도 보시나요?
곧 보러 갈 것 같아요.,곧 보러 갈 것 같아.,웅웅 곧 보러갈 거 같앙~ ㅎㅎ,이따 갈거,예 곧 보러 갈 것 같네요.
이집트 여행 추천하세요?,이집트 여행 추천해?,이집트 여행 어때? 막 추천하고 싶어져?! 너~무 부러워,그래서 이집트 갈만하냐,"이집트 여행은 어떤가요,, 추천할만 한가요?"
